	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1
3792	134	82	182	120	242	167
3793	466	480.987	560	644	819	754.001
3794	463.158	693.872	780.612	753.565	690.73	841.571
3795	32.067	41.218	53.224	38.271	66.2	54.494
3796	476.156	720.001	753.004	760.159	643.008	695.013
3797	523	578.001	634.999	621.001	820	706.999
3798	146.615	138.145	195.379	154.98	183.2	215.066
3799	2656.916	2661.538	3548.823	2536.563	3743.76	3796.998
3800	802.983	1015.616	1244.486	1032	1201.038	1172.547
3801	684	531.989	905	791	1242	1091
3802	11	15	15	34	30	14
3803	1093.986	867.002	1432.005	1064.473	1436.459	1426
3804	1032	975	1429	992	1421	1370
3805	45	39	50	88	85.999	85
3806	99	40	120	112	167	199
3807	4	3	9	3	2	6
3808	2639	2484	3520	2629	4106	3748.999
3809	126	120	170	106.001	160.999	167.001
3810	560.999	469	645	540.001	789	885
3811	190	153	254	188.001	351	243.001
3812	0	0	0	2	0	0
3813	372	612.848	589.347	589.431	533.581	857.275
3814	579.999	766	926	613.999	994.001	1069
3815	183.062	50.26	185.259	161.692	345.504	292.444
3816	1841.002	1539	2283	1848	2925.999	2755
3817	982.001	1126.001	1581	1117	1499.999	1480
3818	2	1	2	3	0	0
3819	1052.847	1018.869	1376.201	1162.885	1749.767	1470.862
3820	539	622	898.007	573	797.001	879
3821	82	119	140	114	128	118.999
3822	865.277	467	840	676	1368.999	829
3823	478.723	603	771	530	796	577.999
3824	0	0	0	0	0	0
3825	878.778	732.035	983.005	849.566	1013.37	1745.52
3826	943	844	1077.999	1093	1253.999	1352
3827	730.024	536.001	1026.035	607.06	858.021	859
3828	83	109	142	133	133	132
3829	710.439	613.343	1057.11	718.734	1123.918	1187.646
3830	2618.047	2647.969	3546.001	2702.002	4168.001	3770
3831	272	392.001	424	425	302	489
3832	2281	2467	3186	2806	3970	3706
3833	1.053	1.068	2.207	3.047	1.031	0
3834	80	98	138	143.999	224	147
3835	7	3	5	14	4	15
3836	21	16	20	42	20	69
3837	1567.001	1862	2194	1813	2056	2748
3838	23	13	14	37	50	32
3839	7	2.016	5.99	6.081	3.234	11.002
3840	324.999	414	519.999	389	482	495.001
3841	1228.992	1546.278	1859.961	1493.108	1692.348	2466.072
3842	0	3	0	0	0	0
3843	263	203	570	299.999	249.001	448
3844	912	759	1067	873	1214	1629
3845	1011	379	511	1090	78	3968
3846	14	5.008	26	11	17	32.014
3847	2105	2905	3823	2229	3341	2770
3848	1377.439	1087.773	1618	1255.048	1967.056	2230.918
3849	1178.004	1359.003	1677	1331.977	1803.941	1841.008
3850	1625.994	1231.024	1765.034	1446.021	2375.622	2458.998
3851	79	48	116.598	104.024	126.943	113
3852	1092.001	1378	1748.001	1301	1639	1673
3853	543.999	588.999	733.807	515.002	816.999	742
3854	597	246	327	391	101	2045
3855	3629.46	3139.832	4838.439	3368.833	5546.787	4955.743
3856	0	1	0	0	1	1
3857	161	208	225	185	236.999	334
3858	631.702	433.492	709.59	499.846	769.506	1156.105
3859	1940	1716.979	2537.968	1786	2838.999	2782.001
3860	219	122.046	300.089	288.702	460.046	480.088
3861	663.001	508.001	643.999	710.001	1324.002	1031.999
3862	240	261	404	299.999	415	434
3863	902	778	1092.999	767	1077.001	1118
3864	6950	6733	12139.999	7330	10600	16837
3865	0	0	0	0	0	0
3866	2160.011	1538.044	2610.168	1766	3711	2408.942
3867	2576.999	2884	3577.001	3046	3917	4349
3868	708.953	476	904.963	625.951	1092	962.913
3869	71.034	32.057	74.046	94.009	109.234	159.093
3870	18	11	15	28	19	28
3871	36.976	31.085	63.831	58.793	59.721	97.265
3872	752	631	808.002	849.009	1178.003	1396.023
3873	1811	1995.697	2529.747	1977.259	2807.043	3423.167
3874	8	13	9	18	26	17
3875	1402	1143	1901.999	1283	2161	1907.001
3876	1616.153	865.996	1502.813	1247.825	2285.413	2118.053
3877	548	704	853	727	935	947
3878	3215.466	1915.127	4463.774	4809.074	10083.272	6839.496
3879	4094.177	2431.66	5871.024	4682.765	7552.822	7276.621
3880	52.999	82.001	76	63	133	79
3881	326.823	469.593	457.244	458.679	362.211	552.744
3882	237	226	154.999	321	22	764
3883	1004	584	1228.001	1339	1337.001	2876
3884	687	267	329	716	254	2558
3885	282	407.999	366	408	406.999	579.069
3886	507	516	711	657	873	840
3887	0	0	0	0	0	0
3888	403	806	883	476	810	523
3889	2	0	0	2	1	0
3890	70.027	44.452	66.576	54.21	90.009	73.424
3891	377.127	242.999	385	314.874	486.003	470
3892	507.045	593.662	729.475	668.84	765.648	727.371
3893	89.436	98.504	134.005	106.835	125.833	97.022
3894	8	6	18	30	37	53
3895	6974.829	9728.491	9652.391	8267.406	9605.379	11611.092
3896	5.238	3.269	19	11	16.009	2.539
3897	225.001	97	235.999	188	389	301
3898	4064	1957	5056	2970	4487.001	4378.999
3899	41	34	34	63	14	118
3900	2182	1332	2564	1864	2736	2904
3901	651.008	728	862	649	837	913.001
3902	371	379	462	457	477	699
3903	2332.867	2124.485	2996.586	2233.892	3788.745	3126.407
3904	266	252	325	235	408	335
3905	0	1	0	1	0	0
3906	2540.347	3333.311	4461.276	3684.558	4445.006	4483.245
3907	2.911	6	5.176	13.022	10.985	10.601
3908	3.004	1.009	1.251	1.006	7.232	5.031
3909	605.135	487.291	767.375	575.152	713.401	817.001
3910	336.04	286	593.001	311.031	619.586	387
3911	299	93.999	165	369	179	1025.001
3912	1210	938	1574	1182	2111	1801
3913	601	276	429	1001.999	56	2383
3914	809.001	413	966.999	540	560.001	919.999
3915	2879.741	1063.086	1426.43	2750.808	184.804	11787.287
3916	12	57	44	34	59	34
3917	0	1	0	0	0	0
3918	0	2	0	0	0	0
3919	161	313	321	353.999	348.999	366
3920	171	69.001	243.006	233.999	276.001	243.001
3921	6627.729	6989.297	10183.009	8283.47	9159.167	11414.806
3922	5228.999	2770.001	5674	4052	7644	5799
3923	14287	9602	25895	10504	17588	14159
3924	1724.004	632.013	2188.019	1942.003	5242.012	3726.097
3925	382	539	597	450	556	590
3926	1207.183	2028.235	2395.42	1799.493	1964.659	2165.725
3927	7949.999	2695.999	8441.886	5944.566	11205.034	10324.028
3928	587	381	937	612	1470	1363
3929	689	311	1113	810	1328	1346
3930	9008	7162	12626.999	7313.999	13513.999	9380
3931	1444	1054	1824.999	1307	2317	1954
3932	1767	2109	2509.999	2171	2917	2787.999
3933	45.936	86.215	111.201	90.528	144.415	98.001
3934	567.001	418	831	488.004	899	495
3935	5	16	19	15	18	19
3936	0	2.657	1	0	1	0
3937	1361.001	1106	1829.999	1303.232	2089.255	1914.001
3938	653	528	836	605	778	919
3939	670	534	1007.999	574	1103	857
3940	3083	1238	4338	2300	5066	3419
3941	307	492	481	394	444	435
3942	1362.136	978	1750.336	1333.48	2262.256	1836.939
3943	0	0	0	0	0	0
3944	6	5	3.001	1	0	2
3945	12	8	2	12	6	13
3946	479.877	696	865.646	862.432	768.429	954.673
3947	62.816	68.39	81.709	98.516	99.028	83.725
3948	94	135	128	126	163.109	161.998
3949	443.999	365.002	652.001	437	654	606.003
3950	22	23	43	36	30.049	42
3951	110.305	104.079	144.119	111.173	145.277	119.707
3952	327	314	270	451	70	1233
3953	1620.001	1413	2685	1595	2307	2359.999
3954	449	212	699	606	1210	919
3955	1951.508	3726.219	3429.928	3667.016	2501.577	4323.186
3956	951.045	919.045	1004.6	842.061	1130.037	1431.066
3957	168.049	172.608	246.173	206.226	337.71	228.75
3958	3776	2472	4781.001	3221.001	5353.999	5174.001
3959	670	951	980.001	730.001	1183	1005.999
3960	275	207	324	274	384	411
3961	656.998	404.405	792.992	719.994	741.997	1372.307
3962	1782.418	999.671	1883.459	1703.274	2912.759	2586.498
3963	873.927	669.833	801.385	942.955	904.55	1821.988
3964	780.54	662.991	1042.827	790.989	1223.904	969.508
3965	168.986	229.999	270	183.999	248.996	304
3966	544	356.001	536	552.999	798.002	842
3967	386	383.001	592.999	469.001	586.001	633.999
3968	183	242	337	366	431	372.001
3969	2414.477	3694.563	3699.158	3762.892	3013.19	4719.962
3970	706	673.999	780.001	646.001	969	813
3971	0	1	0	0	0	0
3972	39	14	23	17	30	44
3973	1	0	0	1	0	0
3974	619.669	581.867	896	650.139	945.917	797.249
3975	3	3	2	1	5	2
3976	293	170	416.001	336	387	546.001
3977	1602.123	1106.818	1839.279	1411.624	2499.439	1998.406
3978	17	16	28	8	15	8
3979	1	0	0	0	0	0
3980	319.001	261	403	329	525.999	555
3981	8.551	2.32	5	8.683	18	9.559
3982	7545.179	11581.416	11801.84	11093.044	13480.478	13553.821
3983	160	152	249.084	176.276	270.225	276.999
3984	806	719	952	579	875	837
3985	924	884.001	1651	707	1269	811.982
3986	13391.999	9381	16754	11559	18066.001	18594
3987	0	3.024	2.066	10.225	4.041	10.066
3988	0	0	0	0	0	0
3989	251.001	305.085	279.795	416.18	416.759	551.214
3990	3.001	4	1.192	2	4	2
3991	606.001	507	681.999	737	934	1048
3992	13	27	25	22	5	66
3993	848.028	1252.671	1458.519	1338.327	1152.799	1520.991
3994	1018	911	1308	1099	1839	1558.001
3995	3354.001	3048.001	5162.003	3445.001	5918.004	5285.004
3996	1637.716	797.049	1751	1351.859	2431	2907.241
3997	1025.108	686.312	1238.868	828.781	1630.061	1366.296
3998	1443.901	1145.478	2017.406	1449.925	1992.637	1861.334
3999	974.431	687.454	1017.873	972.405	1305.207	1796.473
4000	57.999	99	97.001	82.001	61.001	118
4001	514	227.001	668.001	374	704	618
4002	31.999	15	32	36	34	45
4003	122	126	232.001	141	194	152
4004	344.066	186.69	521.208	273.51	472.612	418.46
4005	7240.006	9275.486	9385.062	7549.258	9777.686	11466.487
4006	0	0	0	0	4.105	1.43
4007	25664.939	32258.941	39379.927	28342	46072.954	38528.986
4008	332.999	336.999	392	358.001	439.999	509.001
4009	110.637	115.146	104.686	210.592	38.066	527.894
4010	166	196	387	304	451	396
4011	7	3	10	8	10	12
4012	2185	2430	2963.999	2382.001	3315	3100
4013	231.014	209.006	286.044	230.006	303.014	443.008
4014	462	562.822	695.79	671.434	839.688	903.47
4015	7	5	12	8	7	3
4016	1201.014	1217.999	1492	953.018	1536.999	1781.999
4017	22	63	23	68	5	123
4018	0	1	3	3	4	4
4019	75.802	73.77	108.428	79.22	134.738	149.808
4020	836.095	726	1302.517	985.487	1620	1369
4021	1978.176	1762.138	2602	2226.061	3091.372	3495.006
4022	13	17	10	15	8	26
4023	212.772	254.424	316.872	258.487	232.562	488.039
4024	0	0	1.001	1.135	0	2.004
4025	1545.001	1609	2162	1749	2220.999	2108.71
4026	942	1195.959	1455.001	1336	1777	1625
4027	2	4	5	3	1	5
4028	149	143.999	164.001	206.001	201.003	286.998
4029	0	1	0	0	0	0
4030	3.811	3	3	1	9	2.195
4031	14290.533	12043.503	16715.193	13746.111	29050.231	16235.618
4032	296	112	261.126	204	402.241	367.005
4033	307	511	587.001	562.999	454	609
4034	606.001	528.009	704.001	688	943.982	1071.001
4035	0	0	0	1	0	0
4036	73	90	131	91	125	88
4037	496.505	644.231	771.443	738.395	842.357	848.268
4038	848.292	1177.78	1279.608	1046.402	1268.042	1242.087
4039	970	1149	1380	1218	1618	1278.001
4040	2111.789	2322.587	2703.894	2088.158	3333.412	3381.487
4041	3	1	5	6	0	11
4042	1	0	0	0	0	0
4043	1	4	20	8	6	4
4044	32.796	30.312	24.527	25.064	56.733	29.145
4045	384	268	505	415	666	571
4046	669.936	453.935	939.923	610.666	869	875.286
4047	1412.999	1407	2092	1735.001	2136.001	2320
4048	0	0	1	0	0	5
4049	3	3	2	0	1	3
4050	808	873	1270	903	1227	1075
4051	21050.036	10950.827	26432.693	15324.106	28991.075	16158.33
4052	1	0	0	0	1	0
4053	8620.616	3094.893	7681.434	6176.39	13066.803	8640.326
4054	455	405.999	617	455	514	599
4055	22437	22735	31621	23744	29045.001	32801.999
4056	11	3	7	5	0	30
4057	92983.717	98315.584	148255.217	73787.868	76093.488	98872.386
4058	897	819	1192.001	942.999	1271.001	1588
4059	136.012	73.248	111.271	244.963	177.006	350.48
4060	0	0	0	0	0	0
4061	2	5	16	7	7	9
4062	1	1	0	0	0	1
4063	92.001	126.524	100.942	95.053	53.038	81.001
4064	2457	1938	4052	3329	7566	5116
4065	541	379	1011	598	836	573
4066	123	211	200	144	198	197
4067	45	39	44	40	18	128
4068	738	355	1096	688	1046	801
4069	12	20	19	29	33	14
4070	92	109.999	210.001	228	415.001	248.001
4071	0	0	0	0	0	0
4072	153	81	153	236.001	103	501
4073	175	197	178.001	243	114	421.999
4074	0	0	0	0	0	0
4075	156	104	203.999	182	193	220.999
4076	2	2	4	2	6	3.577
4077	2995	2935	4897	3131	4303	3697
4078	0	0	3	5	5	2
4079	489.999	856.999	936.001	614	887.999	779
4080	1	0	0	2	2	0
4081	125.689	87.048	180.082	97.92	177.912	198.195
4082	1092.921	1338.179	1796.086	1341.086	1913.983	1873.085
4083	1	0	0	0	0	0
4084	1163.836	1245.896	1782	1355	1714.851	1688
4085	92	65.001	121.064	68	94	78
4086	130	167	175	127	160	204
4087	125.175	39.824	25.735	267.195	283.897	212.48
4088	288	260	597	583	519	535
4089	101.011	153.2	136.011	146.024	154.999	170
4090	396	510	576	572	500	946
4091	13	47	66.999	51	95	37.999
4092	1564	1624	2513	1645.999	2692.001	2386
4093	735	544.999	742.999	873	929.001	1775
4094	163	80	146	125	30	405
4095	4	0	0	1	11	6
4096	24	22	42	55	50.002	54.001
4097	582	605	862	484.001	778	561
4098	85.862	52.042	107.879	91.035	99.084	194.237
4099	0	0	9	0	0	0
4100	1	0	1	1	2	1
4101	1029	1147	1253	934	1297	1439
4102	1774.608	1497.582	2391.014	1572.458	2496.593	2665.863
4103	8507.13	12911.173	14276.986	9510.567	12536.22	14844.139
4104	1187	1066	1787	1220	1866.999	1660
4105	8	5	16	4	7	12
4106	5	1	5	1	12	8
4107	55	51	71	125.001	18	321
4108	272.001	253	353	297	413.999	516.999
4109	125.999	180	186	315	272.999	324
4110	158.999	217	245	271.001	272	383
4111	654	942	993.999	878	924.999	901.999
4112	395.999	457.999	610	426.001	704.001	590
4113	683	1085.999	1108.999	1003	1058	1204
4114	50.449	70.68	74	105.32	73	114.441
4115	1080.389	819.129	1567.179	1003.922	1386.869	1930.088
4116	23.209	20.002	14.015	19.043	34.012	32.609
4117	757.002	968.559	1373.854	996.763	1124.151	1260.075
4118	582	635	1052.094	434.013	881	556.001
4119	0	0	1	0	0	4
4120	107.999	99	77	163	177	306.001
4121	559.149	661.739	845.423	620.701	845.05	741.829
4122	996.26	850.098	1603.762	969.292	1970.053	1280.067
4123	25.482	34.923	43.231	25.357	45.204	28.15
4124	754.698	745.031	1171.792	814.686	1255.19	1030.146
4125	460	147	174	820	1059	866.003
4126	2	11	7.127	12.169	9.67	5.401
4127	3630	1048	2868	2033	3701	5106
4128	308.059	594.227	359.545	548.953	485.264	1002.734
4129	1370	302.907	1032.06	753.001	1631.042	1435
4130	1021	766	1218.001	862	1495.999	1351
4131	1181.585	1583.784	2043.801	1544.577	1827.195	1742.828
4132	2133.001	1558.001	2358	1203	2913	2053.999
4133	5	9	10	11	21	12
4134	81.039	114.956	136.313	141.401	90.257	170.598
4135	852.001	997.959	1366	987.999	1295.754	1108.001
4136	1655	887	2600	1466	2551	1991
4137	947	625	1418	1810	3039	2268.001
4138	182.838	201.055	271.79	168.168	252.837	282.362
4139	9	4	8	4	7	4
4140	2	0	11	1	17	2
4141	950	1108	1344	1063	1333	1545
4142	967	956	1369.999	1298	1829	1953.999
4143	1178	667	918	1735	569	4158
4144	154.999	155	247.999	193.999	296.999	300
4145	209	162	292	165	346	235
4146	18	17	10	27	16	18
4147	11	18	23.509	16	20	32.999
4148	1498	644.999	1890	715	1045	1337
4149	0	2	2	0	0	7
4150	1522.046	691.134	1586.858	1313.721	2677.185	2089.937
4151	140	72	175	203	397	221
4152	62	98	80	96	113.001	96.004
4153	456	479	639.987	505	698	754
4154	346	213.171	432.664	282	462.66	479.973
4155	82.982	51.19	37.628	31.999	22.434	38.005
4156	74.009	63	74.098	104.999	177.08	105.005
4157	2	2	1	2	0	1
4158	4	7.099	9.868	6.887	19.665	7.941
4159	791.329	945.34	1066	894.179	1213.645	1351.736
4160	1	0	4.009	1.505	1	0
4161	195	156	228	175.001	289	327
4162	465	885	879.999	823.001	612	763
4163	68	99	89	145.051	144	162
4164	1854.997	1082	2522	1666.999	2623.995	2077
4165	0	0	1	1	2	1
4166	23386.994	25624.668	32078.208	25135.011	35189.894	35034.741
4167	2	0	0	4	1	0
4168	49	36	93	66	71	77
4169	0	0	0	0	0	0
4170	1376.001	829.851	1988.001	1122	1846.631	1941
4171	741.998	472.999	885.001	673.999	1116	1071.001
4172	141.037	179.64	181.172	182.502	190.994	319.953
4173	2370.533	1167.56	3165.208	2565.674	4072.796	5698.446
4174	750	362	662	758	514	1924
4175	85	33	107	84	164	133
4176	40	57	46	86.001	57	101
4177	0	0	1	1	0	2
4178	448	402	559.804	493	673.847	835.29
4179	7	15.873	3	16	3	7
4180	496.002	682.001	757.999	684	682	888
4181	2	2	14	1	6	6
4182	421	544	659.001	511	659.999	622.001
4183	270	174	382.015	308	474	500.001
4184	651.007	441.404	745	505.999	751.999	940.636
4185	1527.047	923	2056.166	1178.003	2201.288	1912.354
4186	0	0	0	0	0	0
4187	2	5	9	5	7	5
4188	239	196	437	305.999	419	471
4189	2	9	0	0	8	8
4190	37.518	8.056	43.252	27.012	48.707	11.121
4191	334	112	649	118	92	386
4192	369	552	607	500	718	606
4193	1050.001	1169	1288.999	1448.999	2246.999	1651
4194	1572	1589.001	1746	1647	1869	3324
4195	451	704	837.001	1049	1220	1104.999
4196	13	13	23	13	41	25
4197	1256	1096	1833	1253.999	2158	1811.999
4198	62	61.999	78	57	28.001	44
4199	10	5	19	1	26	20
4200	2477	1765.999	2757	1874.999	3253	2945
4201	1316.049	1308.676	1912.577	1434.105	2027.303	1963.358
4202	482	644	708	752.999	725.023	803
4203	59	51.014	85.965	42.47	122.509	80
4204	257.976	146.966	382.966	366.128	445.563	215.405
4205	2239.998	2734.999	3373.001	2867	3815.998	3788
4206	13	27.998	24.999	14	22.907	28.021
4207	2549.998	1571	3552	1956.753	3403.999	2850.001
4208	304.917	309.054	501.046	307.305	431.021	381.43
4209	1407	1054.021	1767.199	1311.015	2185.912	1855.999
4210	857.271	946.604	1108.996	1126.396	1022.706	1861.355
4211	270.056	142.986	109.073	337.26	26.005	1294.008
4212	0	0	0	0	0	2
4213	92	90	68	143	8	428
4214	1347	367	1364.999	648	1131	1000
4215	13	40	67	74	30	46
4216	21	31	39	34	20	24
4217	2	4	5	10	2	17
4218	309.224	127	387	234	406.093	396.001
4219	255.999	296.999	389	313	465	420
4220	865.836	1398.93	1506.306	1071.039	1078.929	1434.408
4221	9.024	4	6.392	7	10.618	10.237
4222	477	607	2177	576.002	1046.999	833.999
4223	808.999	475	777.982	925	1403	1624
4224	1076	972	1384	1093	1617	1441.001
4225	766.79	588.057	639.415	656.5	455.482	1818.866
4226	848.294	854.334	1124.374	868.3	1362.482	1243.624
4227	10749.471	15160.741	18892.373	12550.759	16656.682	15557.799
4228	28	19	30	26	44	31
4229	441.496	347.464	514.032	358.749	598.345	674.805
4230	1269	777	1265.005	857.999	1389.999	1942.001
4231	1058	479	1431.999	1243	3375	2071
4232	1454.01	1117.021	1477.31	1292.016	2258.071	1947.034
4233	435.176	351.817	660.365	448.218	630.852	685.424
4234	138.202	189.671	197.336	262.982	290.236	332.693
4235	25	6	28.999	20	23.001	25
4236	412.643	289.712	525.019	303.467	517.518	406.498
4237	10.071	18	29	15.383	29	19.067
4238	306	251	398.725	369.001	469.001	528
4239	1521.102	1182.079	2061.937	1573.114	2888.959	2091.466
4240	205	394	393	380.999	366	401
4241	667.001	489	855.999	731	1040	1101.001
4242	583	475	754.611	569.007	704.773	788.999
4243	1106	914.999	1357	958	1410	1576
4244	1404	1474	2344	1776	2108.999	2485
4245	1400	776.001	1663.001	1134.001	2211.001	1780.084
4246	3264	1256	4085	3088	6410.999	5522.998
4247	9	11	17.001	21	19.001	17
4248	950.581	585.662	981.942	731.559	1430.528	1303.566
4249	194	301	293.001	250	352	297
4250	576.37	444.103	837.121	527.828	840.63	862.824
4251	822.224	927.084	1155.17	866.603	1343.764	1266.976
4252	394.161	516.458	532.703	504.454	546.859	685.493
4253	2211	1641.001	2937	2244	3558	3356
4254	1135.25	1086.894	1634.014	1449.026	2361.149	2168.03
4255	3995	1237	4506	2984	7193	5417
4256	5	6	9	4	8	7
4257	0	0	0	0	0	0
4258	3402	4753.321	5857	4369	5146	6230.102
4259	777.05	1067.031	1281.02	1013.002	1455.064	1422.014
4260	8923	7712.999	13707	6304	10741.001	8873.001
4261	1296	1715.999	2399.995	1844.001	2430	2493.999
4262	4459	1976	5280	3050	5537.001	5549
4263	1428	2512.001	2525	2326	1980	2592
4264	609.15	705.718	795.849	681.409	783.97	1048.638
4265	1016	853	1205	1072.999	1535.999	2035.001
4266	0	1	0	2	1	7
4267	1	0	3.998	0	1.021	4.001
4268	2	5	6.325	0	3.997	3.025
4269	11	1	1	19	31	26
4270	1	2	3	9	2	3
4271	0	0	0	0	0	0
4272	382.087	328.513	507.214	353.093	500.844	458.001
4273	828.51	817.117	922.362	919.35	1047.572	1848.839
4274	5183.798	4865.434	6484.801	5914.383	6614.465	9893.498
4275	1487.207	799.438	1502.959	1143.649	2138.654	2434.863
4276	2	3	0	2	0	6.999
4277	0	0	0	1	0	0
4278	404.001	430.999	543.999	485.275	664.999	658
4279	0	0	0	0	0	0
4280	1087.438	401.855	692.811	1006.662	1007.821	2574.757
4281	453	169	121	339.725	13	1862
4282	303.467	493.857	479.409	529.757	298.353	816.792
4283	48.089	102.643	98.489	93.079	171.871	120.462
4284	247.999	237.001	378	260.001	409.001	318.001
4285	19.001	22.001	14	24	22	50
4286	294.332	272.171	421.152	259.022	415.207	308.017
4287	11637.989	7302.788	14932.602	9416.965	16733.316	12774.299
4288	349.999	284	482.999	430	665.001	574
4289	844	543	1037	989	1786	1758
4290	178	198	215	213	233	244
4291	821	1491	1592	1229	1351	1431
4292	3839	3776	5904	4581	5293.001	6139
4293	453	479.999	636	540	753	729
4294	6	3	12	6	15	11
4295	3	2	7	3	5	10
4296	1085	1149	1822	1066	1377.117	1404
4297	782.94	937.979	1275.962	805	1256.877	1014.001
4298	857.702	566	1176.21	664.613	1407.372	1047.044
4299	880	399	834	1588.999	809	5111
4300	1943	1819	2842.551	2274.999	3195.6	2945.496
4301	62	84	97	79	100	90
4302	343	325.999	471	289.999	496	502
4303	163.298	148.026	187.293	192.074	352.49	285.107
4304	0	0	0	0	0	0
4305	0	0	0	0	0	0
4306	0	0	0	0	0	0
4307	41.629	46.554	79.676	39.157	80.255	51.546
4308	0	0	0	0	0	0
4309	2	3	3	12	25	6
4310	90	116	124	163	97.001	201
4311	254	127	219	285.999	324	581
4312	395	667	638	684.001	587	732
4313	955.999	880	1374	903.001	1502	1547
4314	6	0	0	1	0	10
4315	2	2	5	4	6	5
4316	1608	899	1824.004	1299.999	2118.999	2078
4317	702.986	706.986	1050.001	871.001	1175	1104
4318	748	683	1224	816.001	1295	1006
4319	271	338	380.071	343	298	468.04
4320	350.001	272	470	287.001	468.001	472
4321	767	925.001	1138	921	1022	1260
4322	3099.072	3582.909	4207.062	3484.681	4210.629	5294.261
4323	559	470	835	415	791.001	897
4324	23	44	57.722	34.021	62.714	68.104
4325	0	0	0	0	0	1.008
4326	378	772	876	877	620.993	857
4327	0	0	3	0	2	1
4328	17	9	16	11	27	19
4329	0	0	0	3	0	1
4330	505	294	669	492	882	782
4331	685.999	541	926	721.999	957	1236.507
4332	2	2	7	0	11	8
4333	704.274	1105.633	1281.906	975.987	1014.253	1119.177
4334	468.999	641	678.999	537.001	743.001	743
4335	596	432	793	517	923.999	1107
4336	224	179.001	263	170	291	362
4337	615	569.001	692.078	752.001	845.001	1434.001
4338	3	6	5	5	2	18
4339	0	1	0	0	0	0
4340	97	96	132	47	49	77
4341	4	3	3	0	0	0
4342	117.737	89	137.064	104.265	185.693	169
4343	985	1113.999	1141	1218	1213.999	1706
4344	102	152	126	163	92	194
4345	0	0	1	0	0	0
4346	487.999	602	704	552	771	757.001
4347	88	78	118	126	151	116
4348	423.999	336	331.198	410.013	468	925
4349	173	142	242.011	154	228	240.231
4350	438	332	555	524	638	710
4351	1525	1129	1612	1175	1919	2232
4352	1495.001	1091	1813	1472	2151	2106
4353	2	5	5	17	3	12
4354	86	102	79	84.173	93.191	98
4355	297	231	552.999	399	759.999	575.999
4356	2927	4291.001	5788.758	4827.117	5399.13	5312.596
4357	145.608	117.011	146.394	142.025	232.013	180.183
4358	162	264	227	211	187	302
4359	6	2	4	6	0	16
4360	0	0	0	0	0	0
4361	423	672	752	663	767	719
4362	1120.001	959	1575.96	1123.98	1766.947	1822.958
4363	1111.375	1050.901	1212.024	1003.086	1584.008	1283.025
4364	1	1	0	0	0	1
4365	0	1	3	1	1	0
4366	23	21	27.268	26	36	38
4367	131	181.418	236	163	208	242
4368	975	638	1502	1048	2083	1612
4369	1116.999	1133.001	1505.999	1154	1613.978	1643
4370	212	207	335	219	252	233
4371	364.738	299.078	632.388	423.844	613.828	544.657
4372	2074.016	1712	2663.07	1931.002	2873.019	2803.029
4373	1603.708	1433	2253	1655.999	2596.999	2336.853
4374	3211	2395	4411	3052	5455.999	4028
4375	698	863	1180.957	930.948	1103	1053.227
4376	1312.288	1012.136	1862.323	1122.304	2191.003	2240.756
4377	2.065	0	0	0	1	3.006
4378	862	842	1409.72	974.208	1531.748	1454.635
4379	1002.574	458.136	930.218	799.678	1223.177	1804.485
4380	675.569	120.906	581.965	434.139	800.772	863.124
4381	169.023	123	262.581	222.034	293.096	220.028
4382	29	60	107	46	98	52
4383	70.948	92.729	100.928	120.132	117.101	155.07
4384	443.999	277.991	722.039	787	1204.999	991.009
4385	75	31	83	70	80	66
4386	0	0	0	0	0	0
4387	3899.735	2045.442	4894.102	3274.343	6249.853	4874.3
4388	682.001	1046	1045.001	802	831	935.001
4389	347	371	413.32	365.561	495.013	481
4390	0	0	0	1	0	10
4391	667.579	675.276	1051.739	773.06	1037.589	1050.352
4392	837.199	923.697	1092.733	849.611	1256.369	1178.615
4393	226	279	421	316	395	311
4394	3702.537	3008.222	5215.992	3569.811	5765.717	5084.789
4395	78	30	36	334.001	37	373
4396	4065	1618	4437	2897	6327	4714
4397	8	6	6	3	4	3
4398	4417.999	3513	5671	4081	7351.001	6130.001
4399	138	202	420.001	233.001	235.999	210
4400	657.151	578.259	1252.848	616.02	1023.918	802.454
4401	0	0	0	0	0	5
4402	929	1527	1616	1359	1246	1988
4403	5	0	7	4	10	10
4404	109	60	140	106.999	204	179.001
4405	190	157	239	203	332	350
4406	20.019	30.831	44	53.077	39.624	34.178
4407	0	0	5	0	0.74	0
4408	92.605	69.943	58.186	163.012	32.95	398.338
4409	1353	837.001	1843	1003	1451	1577.999
4410	5208	4486.761	6874.85	5516.781	7985	8036.685
4411	3127	3417	4751	3420	5330	4455
4412	828.113	554.155	121.699	1110.068	32.59	4364.075
4413	21	20	24	50	48	39
4414	582	815	893	734	966.001	1027.999
4415	953.004	999	1449.001	995.003	1552.641	1469
4416	721	313.001	424.819	523	458.592	2260.299
4417	199	185	249.473	168.002	278.002	248.038
4418	1191	798.999	1122.001	1175.448	1354	2520
4419	0	3	2	3	3	1
