counts	gene
170	883.001	ENSMUSG00000001018.15
171	107	ENSMUSG00000001020.8
172	8	ENSMUSG00000001021.13
173	26	ENSMUSG00000001023.10
174	16482	ENSMUSG00000001025.8
175	2	ENSMUSG00000001027.7
176	124	ENSMUSG00000001029.15
177	288	ENSMUSG00000001034.17
178	417	ENSMUSG00000001036.17
179	153	ENSMUSG00000001039.12
180	1459.001	ENSMUSG00000001052.15
181	285	ENSMUSG00000001053.15
182	658	ENSMUSG00000001054.9
183	1048	ENSMUSG00000001056.3
184	177	ENSMUSG00000001062.18
185	271	ENSMUSG00000001065.15
186	1	ENSMUSG00000001076.7
187	400.999	ENSMUSG00000001082.12
188	896	ENSMUSG00000001089.14
189	1	ENSMUSG00000001095.5
190	5956.982	ENSMUSG00000001098.15
191	1137.35	ENSMUSG00000001100.10
192	0	ENSMUSG00000001103.7
193	2069	ENSMUSG00000001105.15
194	80	ENSMUSG00000001119.7
195	87	ENSMUSG00000001120.15
196	18152	ENSMUSG00000001123.15
197	988.642	ENSMUSG00000001127.12
198	29	ENSMUSG00000001128.7
199	128	ENSMUSG00000001131.11
200	205.516	ENSMUSG00000001134.9
201	206.716	ENSMUSG00000001138.13
202	456.207	ENSMUSG00000001143.13
203	460.001	ENSMUSG00000001150.7
204	191.001	ENSMUSG00000001151.10
205	80	ENSMUSG00000001155.13
206	248	ENSMUSG00000001156.9
207	544.079	ENSMUSG00000001157.13
208	643	ENSMUSG00000001158.13
209	245.625	ENSMUSG00000001166.17
210	0	ENSMUSG00000001168.16
211	191.699	ENSMUSG00000001173.15
212	15804	ENSMUSG00000001175.15
213	1111	ENSMUSG00000001211.15
214	7	ENSMUSG00000001225.12
215	47	ENSMUSG00000001227.12
216	508.993	ENSMUSG00000001228.14
217	595	ENSMUSG00000001229.9
218	309	ENSMUSG00000001240.13
219	677	ENSMUSG00000001247.16
220	873	ENSMUSG00000001248.15
221	416	ENSMUSG00000001249.14
222	0	ENSMUSG00000001260.10
223	2765.725	ENSMUSG00000001270.9
224	898	ENSMUSG00000001280.13
225	36	ENSMUSG00000001281.10
226	449.001	ENSMUSG00000001285.12
227	153	ENSMUSG00000001288.15
228	2746	ENSMUSG00000001289.12
229	392	ENSMUSG00000001300.16
230	456	ENSMUSG00000001305.5
231	3445.082	ENSMUSG00000001313.12
232	683.032	ENSMUSG00000001323.17
233	22	ENSMUSG00000001333.9
234	212	ENSMUSG00000001334.9
235	315	ENSMUSG00000001348.15
236	3	ENSMUSG00000001349.5
237	519	ENSMUSG00000001366.14
238	556.026	ENSMUSG00000001376.17
239	1312.999	ENSMUSG00000001380.7
240	1789	ENSMUSG00000001383.9
241	563.616	ENSMUSG00000001403.13
242	1182.645	ENSMUSG00000001415.10
243	4843.943	ENSMUSG00000001416.13
244	3949.962	ENSMUSG00000001418.13
245	1633	ENSMUSG00000001419.17
246	218	ENSMUSG00000001420.13
247	4788	ENSMUSG00000001424.14
248	407	ENSMUSG00000001435.15
249	126	ENSMUSG00000001436.15
250	3632	ENSMUSG00000001440.5
251	1427.624	ENSMUSG00000001441.13
252	3	ENSMUSG00000001444.2
253	1214.104	ENSMUSG00000001445.10
254	683	ENSMUSG00000001467.5
255	3535.001	ENSMUSG00000001472.17
256	749	ENSMUSG00000001473.7
257	702.003	ENSMUSG00000001482.15
258	2	ENSMUSG00000001493.9
259	0	ENSMUSG00000001494.6
260	2.26	ENSMUSG00000001496.15
261	8.823	ENSMUSG00000001497.18
262	127.944	ENSMUSG00000001504.10
263	1522	ENSMUSG00000001506.10
264	1247	ENSMUSG00000001507.16
265	0	ENSMUSG00000001508.15
266	560	ENSMUSG00000001510.8
267	97	ENSMUSG00000001517.14
268	191.075	ENSMUSG00000001518.12
269	0	ENSMUSG00000001520.12
270	188.02	ENSMUSG00000001521.12
271	429	ENSMUSG00000001524.14
272	9755.973	ENSMUSG00000001525.10
273	805.688	ENSMUSG00000001542.7
274	7691	ENSMUSG00000001552.14
275	318.999	ENSMUSG00000001555.10
276	9	ENSMUSG00000001558.5
277	1	ENSMUSG00000001566.9
278	660.471	ENSMUSG00000001569.10
279	1079	ENSMUSG00000001576.15
280	32	ENSMUSG00000001583.13
281	81.999	ENSMUSG00000001588.12
282	94	ENSMUSG00000001604.14
283	2	ENSMUSG00000001622.15
284	2068.987	ENSMUSG00000001627.12
285	375.127	ENSMUSG00000001630.13
286	934.09	ENSMUSG00000001632.16
287	497.643	ENSMUSG00000001642.18
288	10	ENSMUSG00000001655.6
289	2	ENSMUSG00000001656.3
290	24.057	ENSMUSG00000001657.7
291	9	ENSMUSG00000001661.5
292	75	ENSMUSG00000001663.10
293	207	ENSMUSG00000001665.11
294	548	ENSMUSG00000001666.8
295	0	ENSMUSG00000001670.13
296	92	ENSMUSG00000001672.14
297	1031.827	ENSMUSG00000001674.11
298	956.001	ENSMUSG00000001687.15
299	711	ENSMUSG00000001700.10
300	714	ENSMUSG00000001707.8
301	7944	ENSMUSG00000001729.14
302	26	ENSMUSG00000001739.14
303	39	ENSMUSG00000001741.12
304	288.075	ENSMUSG00000001750.16
305	474	ENSMUSG00000001751.9
306	418	ENSMUSG00000001755.12
307	168.832	ENSMUSG00000001761.7
308	618.005	ENSMUSG00000001763.14
309	846	ENSMUSG00000001767.5
310	278.07	ENSMUSG00000001768.16
311	0	ENSMUSG00000001773.14
312	1037.819	ENSMUSG00000001774.8
313	2175	ENSMUSG00000001783.3
314	441	ENSMUSG00000001785.13
315	482	ENSMUSG00000001786.14
316	4473	ENSMUSG00000001794.13
317	28	ENSMUSG00000001802.16
318	4	ENSMUSG00000001804.9
319	0	ENSMUSG00000001815.15
320	5	ENSMUSG00000001819.4
321	0	ENSMUSG00000001823.5
322	2638	ENSMUSG00000001827.12
323	477	ENSMUSG00000001829.17
324	3103.052	ENSMUSG00000001833.17
325	254.999	ENSMUSG00000001844.10
326	7301.98	ENSMUSG00000001847.14
