counts	gene
1	12089	ENSMUSG00000000001.4
2	0	ENSMUSG00000000003.15
3	261.039	ENSMUSG00000000028.15
4	7	ENSMUSG00000000037.17
5	1494	ENSMUSG00000000049.11
6	1270	ENSMUSG00000000056.7
7	286	ENSMUSG00000000058.6
8	9016	ENSMUSG00000000078.7
9	392.998	ENSMUSG00000000085.16
10	3302	ENSMUSG00000000088.7
11	455	ENSMUSG00000000093.6
12	21	ENSMUSG00000000094.12
13	0	ENSMUSG00000000103.12
14	47.339	ENSMUSG00000000120.6
15	22	ENSMUSG00000000125.5
16	96	ENSMUSG00000000126.11
17	1329	ENSMUSG00000000127.15
18	1661.641	ENSMUSG00000000131.15
19	1166	ENSMUSG00000000134.17
20	306.001	ENSMUSG00000000142.15
21	584	ENSMUSG00000000148.17
22	2719	ENSMUSG00000000149.10
23	1745	ENSMUSG00000000154.16
24	0	ENSMUSG00000000157.16
25	231	ENSMUSG00000000159.16
26	31	ENSMUSG00000000167.14
27	1558	ENSMUSG00000000168.9
28	3935	ENSMUSG00000000171.5
29	0	ENSMUSG00000000182.9
30	0	ENSMUSG00000000183.6
31	446	ENSMUSG00000000184.12
32	2968.633	ENSMUSG00000000194.13
33	2	ENSMUSG00000000197.8
34	2	ENSMUSG00000000202.9
35	94.679	ENSMUSG00000000204.16
36	25.001	ENSMUSG00000000214.11
37	7	ENSMUSG00000000215.11
38	117	ENSMUSG00000000216.8
39	159.093	ENSMUSG00000000223.13
40	20.223	ENSMUSG00000000244.17
41	284	ENSMUSG00000000247.11
42	1	ENSMUSG00000000248.16
43	893	ENSMUSG00000000253.13
44	0	ENSMUSG00000000263.15
45	354.919	ENSMUSG00000000266.11
46	3405.566	ENSMUSG00000000275.16
47	418.762	ENSMUSG00000000276.11
48	8873	ENSMUSG00000000278.10
49	1306	ENSMUSG00000000282.12
50	150	ENSMUSG00000000290.13
51	132.999	ENSMUSG00000000295.13
52	48	ENSMUSG00000000296.8
53	70	ENSMUSG00000000301.16
54	5627	ENSMUSG00000000303.12
55	103	ENSMUSG00000000305.12
56	89	ENSMUSG00000000308.14
57	49	ENSMUSG00000000317.11
58	4.325	ENSMUSG00000000318.16
59	59.253	ENSMUSG00000000320.10
60	1555	ENSMUSG00000000325.16
61	1889.438	ENSMUSG00000000326.13
62	624	ENSMUSG00000000339.14
63	551.346	ENSMUSG00000000340.10
64	4881.889	ENSMUSG00000000346.9
65	460.001	ENSMUSG00000000355.13
66	27	ENSMUSG00000000359.3
67	116	ENSMUSG00000000365.9
68	1716	ENSMUSG00000000374.8
69	1608	ENSMUSG00000000378.15
70	0	ENSMUSG00000000381.10
71	793.345	ENSMUSG00000000384.15
72	5141	ENSMUSG00000000385.8
73	2	ENSMUSG00000000392.17
74	0	ENSMUSG00000000394.15
75	2085	ENSMUSG00000000399.10
76	36.11	ENSMUSG00000000402.2
77	32	ENSMUSG00000000409.14
78	8	ENSMUSG00000000411.7
79	30	ENSMUSG00000000416.16
80	4230	ENSMUSG00000000420.15
81	0	ENSMUSG00000000435.1
82	635.136	ENSMUSG00000000439.9
83	3810	ENSMUSG00000000440.12
84	3765.863	ENSMUSG00000000441.17
85	54	ENSMUSG00000000486.13
86	794	ENSMUSG00000000489.7
87	1425.999	ENSMUSG00000000530.16
88	399.003	ENSMUSG00000000531.5
89	1566	ENSMUSG00000000532.11
90	1426	ENSMUSG00000000538.18
91	30	ENSMUSG00000000544.14
92	219	ENSMUSG00000000552.10
93	4554	ENSMUSG00000000555.8
94	15.06	ENSMUSG00000000560.9
95	1247.378	ENSMUSG00000000561.14
96	6.272	ENSMUSG00000000562.5
97	5782.009	ENSMUSG00000000563.17
98	63	ENSMUSG00000000567.5
99	3427.015	ENSMUSG00000000568.15
100	10.489	ENSMUSG00000000579.14
101	1460.999	ENSMUSG00000000581.8
102	16629	ENSMUSG00000000594.7
103	925.399	ENSMUSG00000000600.15
104	1620.999	ENSMUSG00000000605.9
105	2.027	ENSMUSG00000000606.18
106	0	ENSMUSG00000000617.14
107	7.15	ENSMUSG00000000627.15
108	2575	ENSMUSG00000000628.10
109	4188.238	ENSMUSG00000000631.20
110	2	ENSMUSG00000000632.13
111	459.999	ENSMUSG00000000673.9
112	53	ENSMUSG00000000682.7
113	66	ENSMUSG00000000686.11
114	20.032	ENSMUSG00000000690.5
115	64	ENSMUSG00000000693.10
116	1	ENSMUSG00000000701.8
117	33.001	ENSMUSG00000000706.16
118	944	ENSMUSG00000000708.14
119	4020.115	ENSMUSG00000000711.3
120	0	ENSMUSG00000000724.10
121	57	ENSMUSG00000000730.13
122	3.644	ENSMUSG00000000731.15
123	90	ENSMUSG00000000732.9
124	1273.996	ENSMUSG00000000738.18
125	39.18	ENSMUSG00000000739.14
126	3894.161	ENSMUSG00000000740.12
127	2877.999	ENSMUSG00000000743.9
128	1075	ENSMUSG00000000751.13
129	679	ENSMUSG00000000753.15
130	760.194	ENSMUSG00000000759.14
131	2	ENSMUSG00000000766.18
132	658	ENSMUSG00000000776.13
133	84	ENSMUSG00000000782.16
134	13325.448	ENSMUSG00000000787.12
135	20	ENSMUSG00000000791.9
136	206	ENSMUSG00000000792.2
137	85	ENSMUSG00000000794.9
138	1760.999	ENSMUSG00000000804.14
139	7729	ENSMUSG00000000805.18
140	99	ENSMUSG00000000811.13
141	13	ENSMUSG00000000817.10
142	1195.577	ENSMUSG00000000823.16
143	3262	ENSMUSG00000000826.16
144	2015.001	ENSMUSG00000000827.18
145	2379.653	ENSMUSG00000000838.17
146	14.999	ENSMUSG00000000861.15
147	1	ENSMUSG00000000869.12
148	1584.974	ENSMUSG00000000876.11
149	2781	ENSMUSG00000000881.12
150	93.001	ENSMUSG00000000884.17
151	0	ENSMUSG00000000889.8
152	881	ENSMUSG00000000901.17
153	2244.881	ENSMUSG00000000902.13
154	6	ENSMUSG00000000903.3
155	2284.601	ENSMUSG00000000915.15
156	227	ENSMUSG00000000916.15
157	589	ENSMUSG00000000934.9
158	2017	ENSMUSG00000000938.11
159	17	ENSMUSG00000000942.10
160	69.977	ENSMUSG00000000948.16
161	3061.472	ENSMUSG00000000957.11
162	1896	ENSMUSG00000000958.10
163	1004	ENSMUSG00000000959.7
164	332.021	ENSMUSG00000000976.13
165	13	ENSMUSG00000000982.5
166	1	ENSMUSG00000000983.13
167	66	ENSMUSG00000001014.6
168	1582.656	ENSMUSG00000001016.12
169	3345.844	ENSMUSG00000001017.15
170	1497	ENSMUSG00000001018.15
171	99	ENSMUSG00000001020.8
172	7	ENSMUSG00000001021.13
173	27	ENSMUSG00000001023.10
174	16560.999	ENSMUSG00000001025.8
175	4	ENSMUSG00000001027.7
176	141	ENSMUSG00000001029.15
177	431.999	ENSMUSG00000001034.17
178	1370.999	ENSMUSG00000001036.17
179	163	ENSMUSG00000001039.12
180	2147	ENSMUSG00000001052.15
181	312	ENSMUSG00000001053.15
182	970.999	ENSMUSG00000001054.9
183	1602	ENSMUSG00000001056.3
184	279	ENSMUSG00000001062.18
185	422.999	ENSMUSG00000001065.15
186	9	ENSMUSG00000001076.7
187	819.999	ENSMUSG00000001082.12
188	2216	ENSMUSG00000001089.14
189	37	ENSMUSG00000001095.5
190	7869.972	ENSMUSG00000001098.15
191	1678.027	ENSMUSG00000001100.10
192	0	ENSMUSG00000001103.7
193	2030	ENSMUSG00000001105.15
194	635	ENSMUSG00000001119.7
195	171	ENSMUSG00000001120.15
196	14567	ENSMUSG00000001123.15
197	1652.386	ENSMUSG00000001127.12
198	28	ENSMUSG00000001128.7
199	241	ENSMUSG00000001131.11
200	234	ENSMUSG00000001134.9
201	715.433	ENSMUSG00000001138.13
202	1006.569	ENSMUSG00000001143.13
203	804	ENSMUSG00000001150.7
204	419	ENSMUSG00000001151.10
205	451	ENSMUSG00000001155.13
206	618	ENSMUSG00000001156.9
207	987.27	ENSMUSG00000001157.13
208	796.001	ENSMUSG00000001158.13
209	271.968	ENSMUSG00000001166.17
210	0	ENSMUSG00000001168.16
211	451.456	ENSMUSG00000001173.15
212	19407.001	ENSMUSG00000001175.15
213	3409.999	ENSMUSG00000001211.15
214	21.646	ENSMUSG00000001225.12
215	142	ENSMUSG00000001227.12
216	654.001	ENSMUSG00000001228.14
217	950.001	ENSMUSG00000001229.9
218	296	ENSMUSG00000001240.13
219	1770.994	ENSMUSG00000001247.16
220	1337.001	ENSMUSG00000001248.15
221	2418.001	ENSMUSG00000001249.14
222	0	ENSMUSG00000001260.10
223	3248.738	ENSMUSG00000001270.9
224	2179	ENSMUSG00000001280.13
225	114	ENSMUSG00000001281.10
226	513	ENSMUSG00000001285.12
227	353	ENSMUSG00000001288.15
228	2487.758	ENSMUSG00000001289.12
229	743	ENSMUSG00000001300.16
230	442	ENSMUSG00000001305.5
231	2849.933	ENSMUSG00000001313.12
232	1194.004	ENSMUSG00000001323.17
233	83	ENSMUSG00000001333.9
234	428	ENSMUSG00000001334.9
235	892	ENSMUSG00000001348.15
236	5	ENSMUSG00000001349.5
237	840	ENSMUSG00000001366.14
238	877.004	ENSMUSG00000001376.17
239	1482	ENSMUSG00000001380.7
240	2279	ENSMUSG00000001383.9
241	653.604	ENSMUSG00000001403.13
242	2073.201	ENSMUSG00000001415.10
243	5932.09	ENSMUSG00000001416.13
244	7055.638	ENSMUSG00000001418.13
245	3384.999	ENSMUSG00000001419.17
246	476.159	ENSMUSG00000001420.13
247	6778.999	ENSMUSG00000001424.14
248	2691	ENSMUSG00000001435.15
249	441	ENSMUSG00000001436.15
250	5997	ENSMUSG00000001440.5
251	2933.458	ENSMUSG00000001441.13
252	3	ENSMUSG00000001444.2
253	1555.785	ENSMUSG00000001445.10
254	2047	ENSMUSG00000001467.5
255	4821.999	ENSMUSG00000001472.17
256	934.001	ENSMUSG00000001473.7
257	1765.69	ENSMUSG00000001482.15
258	5	ENSMUSG00000001493.9
259	0	ENSMUSG00000001494.6
260	0	ENSMUSG00000001496.15
261	9.787	ENSMUSG00000001497.18
262	153.001	ENSMUSG00000001504.10
263	26452.001	ENSMUSG00000001506.10
264	4846	ENSMUSG00000001507.16
265	7	ENSMUSG00000001508.15
266	1156	ENSMUSG00000001510.8
267	207	ENSMUSG00000001517.14
268	301.162	ENSMUSG00000001518.12
269	15.56	ENSMUSG00000001520.12
270	304.179	ENSMUSG00000001521.12
271	518	ENSMUSG00000001524.14
272	10545.423	ENSMUSG00000001525.10
273	1016.011	ENSMUSG00000001542.7
274	9442.168	ENSMUSG00000001552.14
275	898	ENSMUSG00000001555.10
276	9	ENSMUSG00000001558.5
277	3	ENSMUSG00000001566.9
278	1032.589	ENSMUSG00000001569.10
279	2341	ENSMUSG00000001576.15
280	83	ENSMUSG00000001583.13
281	83.999	ENSMUSG00000001588.12
282	290	ENSMUSG00000001604.14
283	8.207	ENSMUSG00000001622.15
284	3284.966	ENSMUSG00000001627.12
285	629.31	ENSMUSG00000001630.13
286	1383.017	ENSMUSG00000001632.16
287	822.001	ENSMUSG00000001642.18
288	24	ENSMUSG00000001655.6
289	5	ENSMUSG00000001656.3
290	57.138	ENSMUSG00000001657.7
291	37	ENSMUSG00000001661.5
292	315.999	ENSMUSG00000001663.10
293	366.999	ENSMUSG00000001665.11
294	637	ENSMUSG00000001666.8
295	0	ENSMUSG00000001670.13
296	327	ENSMUSG00000001672.14
297	1204.808	ENSMUSG00000001674.11
298	1825	ENSMUSG00000001687.15
299	1020.999	ENSMUSG00000001700.10
300	734	ENSMUSG00000001707.8
301	10794.999	ENSMUSG00000001729.14
302	178	ENSMUSG00000001739.14
303	24	ENSMUSG00000001741.12
304	723.973	ENSMUSG00000001750.16
305	1552	ENSMUSG00000001751.9
306	652.001	ENSMUSG00000001755.12
307	636.821	ENSMUSG00000001761.7
308	728	ENSMUSG00000001763.14
309	1162	ENSMUSG00000001767.5
310	690	ENSMUSG00000001768.16
311	0	ENSMUSG00000001773.14
312	1802.093	ENSMUSG00000001774.8
313	2685	ENSMUSG00000001783.3
314	559	ENSMUSG00000001785.13
315	544	ENSMUSG00000001786.14
316	5007	ENSMUSG00000001794.13
317	141	ENSMUSG00000001802.16
318	13	ENSMUSG00000001804.9
319	0	ENSMUSG00000001815.15
320	13	ENSMUSG00000001819.4
321	0	ENSMUSG00000001823.5
322	6783.999	ENSMUSG00000001827.12
323	735.99	ENSMUSG00000001829.17
324	5113.062	ENSMUSG00000001833.17
325	440	ENSMUSG00000001844.10
326	11485.984	ENSMUSG00000001847.14
327	812.023	ENSMUSG00000001855.15
328	7621	ENSMUSG00000001864.13
329	12	ENSMUSG00000001865.2
330	496.671	ENSMUSG00000001870.16
331	7597	ENSMUSG00000001891.16
332	102	ENSMUSG00000001901.15
333	835.998	ENSMUSG00000001909.16
334	1716.963	ENSMUSG00000001910.5
335	95	ENSMUSG00000001911.16
336	878	ENSMUSG00000001918.17
337	5083.855	ENSMUSG00000001924.15
338	250.19	ENSMUSG00000001930.17
339	1275.999	ENSMUSG00000001942.8
340	65	ENSMUSG00000001943.8
341	3964.999	ENSMUSG00000001946.14
342	103	ENSMUSG00000001948.10
343	1319	ENSMUSG00000001962.8
344	1043.339	ENSMUSG00000001964.14
345	231	ENSMUSG00000001983.7
346	98.305	ENSMUSG00000001985.9
347	40.04	ENSMUSG00000001986.16
348	0	ENSMUSG00000001988.9
349	2068.163	ENSMUSG00000001995.9
350	253.088	ENSMUSG00000001998.15
351	788	ENSMUSG00000001999.15
352	46	ENSMUSG00000002006.12
353	12.001	ENSMUSG00000002007.5
354	1728.999	ENSMUSG00000002010.17
355	119	ENSMUSG00000002012.13
356	4849	ENSMUSG00000002014.12
357	8681	ENSMUSG00000002015.5
358	1501	ENSMUSG00000002017.10
359	111	ENSMUSG00000002020.15
360	780	ENSMUSG00000002028.13
361	844.996	ENSMUSG00000002031.13
362	79	ENSMUSG00000002032.17
363	1	ENSMUSG00000002033.14
364	552.001	ENSMUSG00000002043.17
365	2830.783	ENSMUSG00000002052.6
366	564.197	ENSMUSG00000002055.9
367	8	ENSMUSG00000002057.4
368	1300	ENSMUSG00000002058.13
369	373.635	ENSMUSG00000002059.18
370	3242	ENSMUSG00000002064.10
371	265	ENSMUSG00000002068.16
372	109.002	ENSMUSG00000002076.12
373	172	ENSMUSG00000002083.13
374	37	ENSMUSG00000002100.15
375	2902.001	ENSMUSG00000002102.15
376	1274.842	ENSMUSG00000002103.16
377	10	ENSMUSG00000002104.11
378	1119	ENSMUSG00000002105.15
379	337	ENSMUSG00000002107.18
380	531.999	ENSMUSG00000002108.10
