	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000005683.8	2732.859	3014.957	3831.911	3184.832	4691.868	4575.895
ENSMUSG00000005686.17	1215.562	833.427	2205.227	2174.887	3870.407	2829.064
ENSMUSG00000005687.14	1016.709	1440.996	1691.97	1295.865	1301.229	1759.7
ENSMUSG00000005696.11	0	0	3	8	5.436	1.092
ENSMUSG00000005698.15	1006	1053	1408.999	1028.999	1479	1450.999
ENSMUSG00000005699.16	62	114	122	93	93	103
ENSMUSG00000005705.10	35	46	52	50	44	38
ENSMUSG00000005716.16	0	0	0	0	0	0
ENSMUSG00000005718.8	38.524	33	36.238	57	45	92.927
ENSMUSG00000005732.14	1022	1872.001	1765	1707	1834.999	1713
ENSMUSG00000005763.15	10	16	15	22	30	13
ENSMUSG00000005774.12	146	81	179	111.967	155	218
ENSMUSG00000005779.12	2923.999	5000	5118	4180.001	4600.001	4776
ENSMUSG00000005800.3	6	5	49	14	39	11
ENSMUSG00000005802.12	2629	1882.443	3358	2344	3874.848	3325
ENSMUSG00000005803.14	247.2	264.089	299.71	323	370.092	481.012
ENSMUSG00000005804.14	480.268	443.282	706.89	561.28	736.505	786.578
ENSMUSG00000005813.12	1425	1652	1941	1586	2177	2292
ENSMUSG00000005823.9	1207	753	1638	1028	1773	1332
ENSMUSG00000005824.7	7	3	7	4	9	5
ENSMUSG00000005836.10	317	236	382	429	377	513
ENSMUSG00000005846.12	1076	1459	1713	1501	1750	2005.999
ENSMUSG00000005864.7	0	1	0	0	2	2
ENSMUSG00000005871.15	953.157	576.956	1107.594	784.574	1408.671	1317.897
ENSMUSG00000005873.6	2692	2859	4337.999	3114	4082	3974
ENSMUSG00000005881.13	3010	2967.001	4594.001	3409.999	4358.001	4623.001
ENSMUSG00000005882.18	679	551.009	831	730	973.998	1047.066
ENSMUSG00000005883.15	3	0	2	10	4	1
ENSMUSG00000005886.14	1441.775	938.005	1370.011	947.001	1611.008	1999.002
ENSMUSG00000005891.7	1546	793	1967	1548	3725	1695
ENSMUSG00000005892.4	0	0	0	0	0	0
ENSMUSG00000005893.14	613.305	282.812	617	492	902.256	812.84
ENSMUSG00000005897.14	204	132	229	190	273	280
ENSMUSG00000005899.14	354.001	374	461.645	411.351	507	526.129
ENSMUSG00000005907.14	549.155	585	681.289	549.5	856.975	862.953
ENSMUSG00000005917.15	10.717	5.232	3.084	2.139	4.149	4.121
ENSMUSG00000005936.19	2547.232	2324.999	3290.166	2523.521	4007.811	3843
ENSMUSG00000005947.11	0	2	0	3	6	2
ENSMUSG00000005949.9	902	429	789	750.969	1024	1436
ENSMUSG00000005950.14	37	30	60	61	130	80
ENSMUSG00000005951.13	128	121	162	126	184	225
ENSMUSG00000005952.15	2	0	1	9	5	1
ENSMUSG00000005958.15	181.459	79.118	260.278	225.137	228.254	197.359
ENSMUSG00000005968.14	612.536	555.163	926.777	683.527	852.117	1380.525
ENSMUSG00000005973.6	1486	1167	2196	1710	2141	2252
ENSMUSG00000005980.15	19	0	9	12	4	8
ENSMUSG00000005981.11	927	1201	1449	1251	1472	1927
ENSMUSG00000005982.14	648.689	529.643	873.014	630.001	987.542	948
ENSMUSG00000005983.15	52.53	56.076	72.165	52.034	100.187	83.914
ENSMUSG00000005986.16	85	90	115	75.001	155	83
ENSMUSG00000005994.14	0	0	0	0	1	0
ENSMUSG00000006005.18	2282	1697	2840	1892	3487	3316.001
ENSMUSG00000006007.14	0	0	0	0	0	0
ENSMUSG00000006010.14	986	802	1335	847	1438	1416.999
ENSMUSG00000006014.16	11	7	9	9	25	21
ENSMUSG00000006019.15	286	252.999	381.999	251	463	390
ENSMUSG00000006021.5	99	146	167.001	170.001	173	216
ENSMUSG00000006024.13	2991.999	3425	4377	3230	3891.999	4876.999
ENSMUSG00000006050.12	1084	1685.001	1861.001	1411	1464	1861
ENSMUSG00000006056.13	2	11	6	13	16	14
ENSMUSG00000006057.15	871.74	1291.016	1226.705	1034.695	1147.935	1398.618
ENSMUSG00000006058.10	985.731	1458.59	1534.507	1204.32	1348.766	1610.862
ENSMUSG00000006095.12	1049.999	1485.999	1644	1224	1521	1631
ENSMUSG00000006127.9	595	533.001	746	567	864	791.001
ENSMUSG00000006134.4	1006	652	1205	1021	1769	1571
ENSMUSG00000006143.12	107	56	12	22	5	46
ENSMUSG00000006154.13	123.001	65.999	153.999	90	129	119
ENSMUSG00000006169.20	2911	2944	3983	3368.001	4616.999	5387
ENSMUSG00000006179.9	102	123	198	116.001	162	179
ENSMUSG00000006191.17	176	204	241	173.008	236	257.005
ENSMUSG00000006200.3	8689.254	11519.214	13938.207	8349.208	12303.267	9566.347
ENSMUSG00000006204.7	0	0	0	0	0	0
ENSMUSG00000006205.13	3263	2646	10286.999	5144	6394	8526.999
ENSMUSG00000006215.12	261.999	279	383	279.999	407	386
ENSMUSG00000006216.10	0	0	0	0	0	0
ENSMUSG00000006218.4	3	1	0	4	5	3
ENSMUSG00000006219.12	3147.045	3548.003	5122.799	2748.001	5355.999	3239.074
ENSMUSG00000006221.7	445.097	335.891	1148.812	1163.364	1555.4	1512.786
ENSMUSG00000006235.6	290	295	562	306	437	285
ENSMUSG00000006241.16	10	12	11	10	13	7
ENSMUSG00000006262.15	697.215	384.484	657.091	675.128	1046.037	1177.301
ENSMUSG00000006269.7	4	2	9	2	3	0
ENSMUSG00000006270.7	0	0	0	0	0	0
ENSMUSG00000006273.14	3362.789	3239.206	3788.314	4101.53	4198.091	7306.543
ENSMUSG00000006276.10	940.001	748	1202	901.002	1281.997	1262.001
ENSMUSG00000006281.8	293	190.999	307.999	292.999	394.001	571
ENSMUSG00000006288.8	546.216	660.428	888.885	698.571	884.514	848.097
ENSMUSG00000006289.14	331.623	465.644	587.031	500.765	503.008	639.092
ENSMUSG00000006299.13	5209	6642	7857	5339.001	7448.999	7774
ENSMUSG00000006301.17	2156.028	1574.053	2828.04	2494.086	3372.07	4063.005
ENSMUSG00000006304.14	8652.999	11126	14213.999	9225.996	13747	12330.999
ENSMUSG00000006307.16	814	508.001	963.999	687	1437	1261.002
ENSMUSG00000006310.10	22	25	17	29	22	20
ENSMUSG00000006311.8	0	0	0	0	0	1
ENSMUSG00000006313.5	50	41	17	7	8	25
ENSMUSG00000006315.9	835.001	1209	1405.001	1388.999	1255.001	1400
ENSMUSG00000006333.14	4902.126	9507.334	10539.499	9222.69	8670.799	8676.25
ENSMUSG00000006335.16	253.001	357.999	375	274.999	362	341.001
ENSMUSG00000006342.15	957	230	511	1095	388	3348
ENSMUSG00000006344.17	36	60	82	123.999	131	130
ENSMUSG00000006345.10	1015.001	468	1079	874.001	936.001	1911
ENSMUSG00000006356.10	3451.001	3706	5054.001	3515	5649	4962
ENSMUSG00000006360.11	902	1026	1813	1575	1294	2388.001
ENSMUSG00000006362.16	125	63	108	76	115	138
ENSMUSG00000006369.14	8627	4161	11422.999	5010	7026	8290
ENSMUSG00000006373.10	4214	4024	5533	5712	7737	7859
ENSMUSG00000006378.15	435.969	583	468	684	203.581	1398
ENSMUSG00000006386.15	271.001	163.001	330.001	272	324	332.999
ENSMUSG00000006389.13	21	10	16	31	24	20
ENSMUSG00000006390.15	1867.001	1490.001	2058.999	1972	2307	3267
ENSMUSG00000006392.16	836	1120	1237.999	1103	1310.001	1275.999
ENSMUSG00000006398.15	278	361	361	531	534	601
ENSMUSG00000006403.13	503	205	944	329	716	564.14
ENSMUSG00000006411.12	71.042	36.008	21.008	13.162	27.309	32.093
ENSMUSG00000006412.10	538	854	772.999	631	648	769
ENSMUSG00000006418.17	1087	1071	1755	1201	1837	1692
ENSMUSG00000006423.15	596.708	510.169	795.136	604.979	836.137	981.246
ENSMUSG00000006435.16	42.485	25	76.019	35	74.069	63.082
ENSMUSG00000006442.10	474	699	909.98	650.932	776	893
ENSMUSG00000006445.3	182.695	64	151.443	178.005	335.004	266.009
ENSMUSG00000006456.10	520.487	558.502	855.369	731.381	948.022	903.599
ENSMUSG00000006457.4	12	6	20	8	31	12
ENSMUSG00000006463.13	228	199	322	260.034	386.125	432.001
ENSMUSG00000006464.9	48.339	33.947	69.704	48.364	99.293	75.408
ENSMUSG00000006469.13	67	40	32	104	5	312.999
ENSMUSG00000006471.18	292.16	174.256	382.483	299.813	498.216	484.011
ENSMUSG00000006476.19	198.999	178	412.001	200	381.999	292
ENSMUSG00000006488.17	5931.999	6306.999	7740	7569	17263	10573.999
ENSMUSG00000006490.3	132953	109854.66	218015	108428	129551	135980
ENSMUSG00000006494.11	1156.001	1184	1433	1016.999	1234.001	1796
ENSMUSG00000006498.16	3063	2985.002	4630.356	3763.998	5506.001	5160.916
ENSMUSG00000006517.5	183	320	228	283	295	517
ENSMUSG00000006519.11	951.316	1377	1272.544	1965.999	750.321	3075.626
ENSMUSG00000006522.17	295	135	121	272	13	1248
ENSMUSG00000006526.13	591	418	716	643	905	962
ENSMUSG00000006527.16	475	351	462	535	465	1222
ENSMUSG00000006529.16	146	35	70	113	24	459
ENSMUSG00000006538.12	118	85	148	135	52	442
ENSMUSG00000006542.13	0	0.809	6.024	1.001	2.002	3.002
ENSMUSG00000006546.3	0	0	0	0	0	0
ENSMUSG00000006567.11	338	182	277	412	88	1456
ENSMUSG00000006570.3	0	0	2	0	0	0
ENSMUSG00000006574.15	1678	1633	1275	1341	914	1220
ENSMUSG00000006575.14	7	10	10	17	4	19
ENSMUSG00000006576.16	102	49.999	158	96	144	147
ENSMUSG00000006585.3	392	481.999	602	599	761	675
ENSMUSG00000006586.15	33.04	13	16	27	22	57
ENSMUSG00000006587.6	10	4	15	16	17	28
ENSMUSG00000006589.8	6434.001	10274.999	11625.001	9133.001	10335.999	9851
ENSMUSG00000006599.13	2000	1989	2777	2038.001	2951	3493
ENSMUSG00000006611.15	75.566	84.179	123.591	82.384	67.457	128.102
ENSMUSG00000006641.12	974.001	543	870	924.806	1087	1349
ENSMUSG00000006642.3	33	8	40	40	45	23
ENSMUSG00000006649.17	29.288	78.912	87.766	121.231	83.617	57.553
ENSMUSG00000006651.8	404.999	214	455	360.999	333	715
ENSMUSG00000006673.14	1678.927	1530.997	2070.342	1761.057	2498.033	2345.004
ENSMUSG00000006675.10	31	25	47	37	39	46
ENSMUSG00000006676.16	2086.999	1942.998	2855.025	2047.356	3494.001	2930
ENSMUSG00000006678.6	87.25	83.05	113.231	126.013	183.123	169.848
ENSMUSG00000006699.17	8490.095	9976.739	12712.39	9890.095	13330.582	13646.199
ENSMUSG00000006705.13	562.999	343	577	445	866	711.999
ENSMUSG00000006711.15	29	2	25.006	27	34	22.085
ENSMUSG00000006715.11	365	703	605	613	625.999	670.001
ENSMUSG00000006717.7	292	499	483	424	364	540
ENSMUSG00000006720.16	39	34	68	33.999	72	41
ENSMUSG00000006724.12	5	2	9	3	1	1
ENSMUSG00000006728.12	2428.73	3194.496	3390.2	3405.554	3278.95	4519.678
ENSMUSG00000006731.10	546	293	559	530	597	1298.999
ENSMUSG00000006732.14	368.782	365.399	500.8	481.76	443.697	638.638
ENSMUSG00000006736.9	2461.129	2434.863	3027.143	2587.886	2970.493	3172.111
ENSMUSG00000006740.14	2830.482	2425.63	3768.929	2802.965	4228.727	4717.512
ENSMUSG00000006763.14	175	306	264.001	271.001	314	378.043
ENSMUSG00000006764.8	0	0	0	0	1	1
ENSMUSG00000006777.7	133	111	133	301	97	254
ENSMUSG00000006782.16	118	132	146	114	149.005	125
ENSMUSG00000006784.14	15.539	13	34.736	18.884	18.297	16.026
ENSMUSG00000006800.14	3487.999	1918	5128	2719	5431	3442.001
ENSMUSG00000006818.5	780.372	972.096	1327.094	982.898	1216.564	1475.243
ENSMUSG00000006850.8	230	279	255.999	259.001	292.999	396
ENSMUSG00000006906.10	559.999	604	863	555.001	816.001	840.028
ENSMUSG00000006920.14	792.034	656	1038.999	755.001	1174.001	1303.011
ENSMUSG00000006930.15	53	48	62	67	95	52
ENSMUSG00000006931.15	816	560	1106	1343	1202	987
ENSMUSG00000006932.17	13101.995	11009.992	15686	13607.988	20457.979	21163.979
ENSMUSG00000006941.5	1092	1547	1815	1256	1589	1427
ENSMUSG00000006948.7	83	39	68	55	106	86
ENSMUSG00000006958.14	145	68	164	141	291	259
ENSMUSG00000006998.16	5405.461	6778.074	7035.798	6197	8794.661	8006.464
ENSMUSG00000007021.5	5	5	2	8	1	12
ENSMUSG00000007029.16	775.999	578.001	937	864.999	1254.001	1414
ENSMUSG00000007030.8	12.531	13.014	8.009	15.004	18.007	25.715
ENSMUSG00000007033.4	6.681	12.379	6.532	4.406	22.805	9.756
ENSMUSG00000007034.15	458	182	337	497	233	1308
ENSMUSG00000007035.15	26.999	32	21.001	54	21	65.001
ENSMUSG00000007036.15	1689	1390	2021	1636	2221	2859
ENSMUSG00000007038.5	1562	1175	1865.999	1416	1747	2880
ENSMUSG00000007039.12	741	787	982	679	829.001	1003
ENSMUSG00000007041.9	2713.446	3267.121	3741.705	3225.989	3507.149	4916.88
ENSMUSG00000007050.17	277.002	352.489	384.999	413.253	404.833	476.128
ENSMUSG00000007080.14	109.022	61.02	92	130.133	185.014	121.02
ENSMUSG00000007097.14	119.391	62.019	137.332	62.017	119.953	66.289
ENSMUSG00000007107.6	9.11	13	13.122	8	31	10.277
ENSMUSG00000007122.11	14	14	6	8	26	20
ENSMUSG00000007207.10	26	19	35	31	40	73
ENSMUSG00000007209.4	356	993	554	820	1274	615
ENSMUSG00000007216.6	247	234	429	172	437	270
ENSMUSG00000007279.14	109	56	152	182	178	112
ENSMUSG00000007338.10	565.764	669.132	815.992	758.155	838.094	1023.158
ENSMUSG00000007379.15	95.067	50.015	131.491	124.367	138	117.011
ENSMUSG00000007411.16	2055.249	2190.746	2852.617	2117.175	3025.647	3359.044
ENSMUSG00000007415.15	1005	831	1431	1505	2422	2228
ENSMUSG00000007440.10	0	0	3.357	0	0	0
ENSMUSG00000007457.3	5	2	2	0	2	4
ENSMUSG00000007458.14	4024.636	3262	5493.607	3940	5606.649	5603.52
ENSMUSG00000007476.18	846	375.644	855.857	691.329	1153.456	1472.994
ENSMUSG00000007480.4	0	0	2	1	1	0
ENSMUSG00000007564.15	3200	3721	4167.999	3549	4852	5045
ENSMUSG00000007570.16	317.447	337.931	481.742	341.392	513.24	429.439
ENSMUSG00000007589.9	353.271	416.754	523.932	582	684.075	565.104
ENSMUSG00000007591.15	13	4	2	5	3	6
ENSMUSG00000007594.10	126	49	106	69	96	81
ENSMUSG00000007603.9	354	346	478	390.001	474.999	487.001
ENSMUSG00000007610.15	187.796	223.325	380.166	271.464	346.12	326.828
ENSMUSG00000007613.15	1461	462	1327	1427	1474.004	3196
ENSMUSG00000007617.18	282	184.001	351.999	247	440	410
ENSMUSG00000007646.13	85.152	120.381	90.041	92.122	114.045	131.102
ENSMUSG00000007653.12	0	1	0	0	2	0
ENSMUSG00000007655.16	790	715	736	578	839	794
ENSMUSG00000007656.13	1304	1742	2143.999	1834.999	1703	2388.999
ENSMUSG00000007659.18	2932	2099.999	3551	2265	3622	3668
ENSMUSG00000007670.10	1372.936	1139.869	1780.001	1455.991	2380	2227
ENSMUSG00000007682.6	20	27	63	45	87	83
ENSMUSG00000007721.6	764	1081	1406	702	1146	1037
ENSMUSG00000007739.10	3793.999	5579.978	6535.997	5443.996	6287.996	6371.997
ENSMUSG00000007777.9	229.415	371.999	464	364.999	333.998	520.47
ENSMUSG00000007783.10	97.013	112.004	199.025	140.944	226.004	151.766
ENSMUSG00000007805.4	18	27	63	25	64	41
ENSMUSG00000007812.16	3506	3300	5489	3568.999	5355.999	4863
ENSMUSG00000007815.13	7704.112	8841.926	12272.958	8553.061	11821.694	12534.019
ENSMUSG00000007817.15	2605.001	1611.999	2558	1716	3541	3442.921
ENSMUSG00000007827.10	90	88	110	89	185	159
ENSMUSG00000007833.15	561	680	805	660	959	851.073
ENSMUSG00000007836.6	2224	2585	5106	2849	5365	4629
ENSMUSG00000007837.11	505	442	685	508	711	752
ENSMUSG00000007850.16	3913.995	4061.994	6134.901	4436.001	6492.996	5558.882
ENSMUSG00000007867.9	663	1009	1083.999	747	901	880
ENSMUSG00000007872.3	172	223	339	220	286.001	264
ENSMUSG00000007877.2	0	0	0	1	1	0
ENSMUSG00000007880.16	1533	1010	1671.936	1120	2152	2027.972
ENSMUSG00000007888.15	137	138	181	119.999	165.001	191.001
ENSMUSG00000007891.16	15088.864	9847.543	19262.456	14660.97	21692.374	22458.992
ENSMUSG00000007892.8	6870.26	12134.171	13049.613	11548.989	11651.497	12614.865
ENSMUSG00000007907.4	2	0	1	0	0	4
ENSMUSG00000007908.14	4	4	0	7	4	14
ENSMUSG00000007944.8	3	4	3	1	1	1
ENSMUSG00000007946.11	0	0	3	0	2	0
ENSMUSG00000007950.9	197.067	220	309.64	191.021	373.266	360.034
ENSMUSG00000007987.12	169	207	230	232	253.001	294.001
ENSMUSG00000007989.7	76.03	41.005	73.466	69.062	72.763	88.01
ENSMUSG00000008028.15	1.014	1.018	4	1	1	0
ENSMUSG00000008035.12	190	230	249.001	364	350	490
ENSMUSG00000008036.11	1803	2963	3061	2407	2670	2975
ENSMUSG00000008090.14	378	312	545.999	356	503	665
ENSMUSG00000008129.14	12	34	39	39	40	36
ENSMUSG00000008136.14	1008	1133	1904	1015	1714	1342
ENSMUSG00000008140.18	2087.999	1838	3304	2281	3483.999	2959.001
ENSMUSG00000008153.12	202	108	161.001	105	196	151
ENSMUSG00000008167.14	408	498	574	551.001	724	644.001
ENSMUSG00000008193.13	2	7.217	6.048	8	24	8
ENSMUSG00000008200.15	518.001	375	734	556.001	865.001	708
ENSMUSG00000008206.16	76.924	62.251	91.403	121.809	131.417	159.056
ENSMUSG00000008226.14	336.001	393.001	472.001	343	426	584.001
ENSMUSG00000008301.11	727.001	908.001	1157	810.001	989.001	1131
ENSMUSG00000008305.18	281.224	255	490.049	318.49	361.438	468.556
ENSMUSG00000008307.11	1.001	2.001	2.003	2.003	9.097	3.197
ENSMUSG00000008318.10	189	155	242	185	318	248
ENSMUSG00000008333.12	673	1129	1226	921	1077	1053
ENSMUSG00000008348.9	21274.027	20846.196	30638.784	18277.175	27884.591	28926.336
ENSMUSG00000008373.16	645	870	893.001	710	994	917
ENSMUSG00000008384.8	258	364	397	304	454	486
ENSMUSG00000008393.9	1899	1570.702	2723.532	2133.142	3208.121	2842.986
ENSMUSG00000008398.15	702.001	571.999	848	660	994.001	801.994
ENSMUSG00000008429.8	1154	973	1551	1185	1866	1759
ENSMUSG00000008435.15	470.757	326	551.742	509.001	870.999	638.047
ENSMUSG00000008438.3	2	1	2	1	4	1
ENSMUSG00000008450.8	23.804	45.414	9.807	13.071	26.909	30.332
ENSMUSG00000008461.6	0	0	0	0	2	13
ENSMUSG00000008475.13	4431.983	6525	7654.979	5926.95	7314	7691
ENSMUSG00000008482.9	3	2	9	4	4	2
ENSMUSG00000008489.18	1	0	7	10	8	1
ENSMUSG00000008496.19	22.026	18.57	20.789	26.876	19.364	30.569
ENSMUSG00000008540.11	905.001	855.999	663	1503	468	2663
ENSMUSG00000008575.17	428.001	128	532	217	368	460
ENSMUSG00000008590.4	0	0	0	0	0	0
ENSMUSG00000008601.12	28	41	42	25	25	43
ENSMUSG00000008604.11	720.999	709.001	942.001	880.001	1066	1476
ENSMUSG00000008658.16	3	0	1	1	3	2
ENSMUSG00000008668.15	5551.221	9688.463	11495.857	10557.577	9413.083	9959.447
ENSMUSG00000008682.13	609.428	882.586	1979.295	1280.497	1613.678	1568.479
ENSMUSG00000008683.16	1551.783	3637.323	3528.909	3824.774	3121.599	3291.196
ENSMUSG00000008690.15	1991.501	2527.999	3059	2453	3279.913	3153.556
ENSMUSG00000008730.17	1037	601	949.999	1032	1457	1567
ENSMUSG00000008734.9	143	31	178	121	286	211
ENSMUSG00000008763.16	1999.001	970	2118	1819	3092	2782.999
ENSMUSG00000008789.10	69244.018	22417.82	81707.141	40368.585	78009.937	64865.989
ENSMUSG00000008813.13	0	1	0	0	0	0
ENSMUSG00000008822.15	182	246	313	243	222	262.001
ENSMUSG00000008843.4	21	15	3	13	6	28
ENSMUSG00000008845.9	3.982	1	0.768	4.135	0	3.898
ENSMUSG00000008855.17	865	649.999	872	789.001	1159	1575
ENSMUSG00000008859.8	1231	1517	2025	1369	1702	2011
ENSMUSG00000008874.3	0	0	0	0	0	0
ENSMUSG00000008892.12	1870	2574.591	2861.507	2442	3026.493	3110
ENSMUSG00000008932.10	4.176	0	2.067	2.17	0	0
ENSMUSG00000008958.14	1026.971	1351.858	1557.386	1063.455	1483.487	1189.401
ENSMUSG00000008976.16	782.001	613.001	1007	816	1239.001	1210.001
ENSMUSG00000008999.7	64.002	57	81	81	107	159.006
ENSMUSG00000009013.5	2774.562	4475.86	4792.31	3870.715	4474.136	4492.126
ENSMUSG00000009030.14	676	662	1070	854	1132	1176.001
ENSMUSG00000009035.15	1054	528	1077	889	1621.001	1757
ENSMUSG00000009047.4	0	0	0	0	0	0
ENSMUSG00000009070.14	0	0	0	0	0	0
ENSMUSG00000009073.16	983.999	796	1294.977	957.001	1679.986	1344
ENSMUSG00000009075.2	258	106	405	304	532	365
ENSMUSG00000009076.10	190	290	290	220	277	301
ENSMUSG00000009079.16	2648.234	2782.807	3604.151	2738.699	3878.784	3505.411
ENSMUSG00000009090.17	2024	1437	1918	2071	2647	3566
ENSMUSG00000009092.5	685.001	687	1263	786.001	1144	666
ENSMUSG00000009093.7	1	0	0	4	2	0
ENSMUSG00000009097.10	10	6	18	7	12	11
ENSMUSG00000009108.15	40	66.999	90.001	68.999	101	61.999
ENSMUSG00000009112.4	1363.256	998.631	1631.16	1207.817	1920.929	1635.215
ENSMUSG00000009114.17	1	0	1.005	2	2	1
ENSMUSG00000009115.5	1	0	0	0	1	1
ENSMUSG00000009145.6	141.066	97.054	111.143	220.259	83.945	429.056
ENSMUSG00000009185.2	6	7	14	29	12	10
ENSMUSG00000009207.15	310	226.001	401	353	500	486.001
ENSMUSG00000009210.10	0	0	0	0	0	0
ENSMUSG00000009214.9	0	0	0	0	0	0
ENSMUSG00000009216.7	0	0	1	0	0	0
ENSMUSG00000009246.14	13	6	4	41	2	37
ENSMUSG00000009248.6	515	938	914	656	930	666
ENSMUSG00000009281.6	17334.986	19599.993	26306.993	16462.381	26760.984	24001.995
ENSMUSG00000009291.13	5998	4417	8424.999	7259.001	9214.999	11380
ENSMUSG00000009292.18	17.007	67.143	19.225	128.069	27.089	39.449
ENSMUSG00000009293.17	1551.922	1230.877	2112.81	1611.89	2349.795	2446.784
ENSMUSG00000009350.13	13.714	3.061	3.116	9.874	10.423	22.733
ENSMUSG00000009356.12	0	1	0	1	0	0
ENSMUSG00000009376.15	213	109	119	229	119	875
ENSMUSG00000009378.4	232	117	129	302	248	745
ENSMUSG00000009394.13	8	10	12	22	19	20
ENSMUSG00000009406.13	181.668	141	206.556	186	285.007	257.593
ENSMUSG00000009418.16	1241.64	816.844	1804.843	867.98	1786.527	1269.423
ENSMUSG00000009470.17	2699	1205.474	2582.961	2222	3720.848	4186.952
ENSMUSG00000009471.4	0	0	0	1	2	0
ENSMUSG00000009487.10	0	0	1.139	0	0	0
ENSMUSG00000009535.13	635	749	1014	764.999	988	975
ENSMUSG00000009545.14	24	12	24	16	34	46
ENSMUSG00000009549.14	1303	1900.999	2272	1676	2025	2127
ENSMUSG00000009551.2	0	0	0	0	0	0
ENSMUSG00000009555.16	1197.333	1315.708	1721.506	1265.006	1747.597	1767.392
ENSMUSG00000009563.16	1619	1722.013	2544.996	1710.001	2130.429	2536
ENSMUSG00000009566.12	308	277	411.999	343	443	542.999
ENSMUSG00000009569.14	1085.686	570.306	1289.408	814.266	1692.96	1502.349
ENSMUSG00000009575.14	1100.478	695.98	1020.095	1112	1817	1894
ENSMUSG00000009580.15	0	0	0	0	0	0
ENSMUSG00000009585.18	67.011	69.141	92.598	105.011	136.856	106.133
ENSMUSG00000009588.9	0	0	0	0	1.278	0
ENSMUSG00000009596.9	8173	7065.001	12391.001	4994.999	7315.001	6905
ENSMUSG00000009614.16	139.456	86.237	95.339	216.671	49	529.446
ENSMUSG00000009621.18	951.999	711.001	1174.999	959.001	1829	1330.001
ENSMUSG00000009628.14	29	27.001	42	36	80	37
ENSMUSG00000009630.10	916	1029	1708	1083	1797	1776
ENSMUSG00000009633.3	54	69	75	151	26	230
ENSMUSG00000009640.11	369	493	616	425	655.999	521
ENSMUSG00000009646.13	412	418	443	795	194	1471
ENSMUSG00000009647.13	805	590	1120	698	1142	1118.949
ENSMUSG00000009654.4	201	142	327	270	271	222
ENSMUSG00000009670.11	56	34	62	55	60	80
ENSMUSG00000009681.10	1666	1442	2121	1397	2921	2156
ENSMUSG00000009687.14	1075.001	1458.001	2115.748	1259.999	2047.027	1796.999
ENSMUSG00000009731.4	29	23	28	34	64	36
ENSMUSG00000009733.9	295.162	243.922	346.749	249.298	389.844	366.995
ENSMUSG00000009734.18	12	11	28	15	17.999	20
ENSMUSG00000009739.17	49	21.652	44	41.001	80	82.049
ENSMUSG00000009741.15	1165.999	953	1693.999	1232.001	1930	1755.999
ENSMUSG00000009772.15	106	79	93	144	74	356
ENSMUSG00000009828.15	383	285	428	323.001	523	488
ENSMUSG00000009863.14	1096	1731	1947	1685	1894	2100
ENSMUSG00000009876.13	41	91	98	41	54	41
ENSMUSG00000009894.15	808	1053	1133	780	1061	1105
ENSMUSG00000009900.7	0	0	0	0	0	1
ENSMUSG00000009905.5	1352.001	832.012	1580.804	1794.23	2767.44	2343.724
ENSMUSG00000009907.17	1942.829	2030.653	2681.866	2232.675	3069.612	3251.59
ENSMUSG00000009927.9	5358.944	10288.872	10968.57	9501.131	8283.018	9128.502
ENSMUSG00000009941.10	5	8	4	4	10	4
ENSMUSG00000009995.17	723	601.001	1062.999	858.001	1078.254	999
ENSMUSG00000010021.13	2	4	4	0	2	6
ENSMUSG00000010025.19	1810	1391	2297.999	2238.001	3001.001	3586
ENSMUSG00000010044.12	25	38	17	49.001	13	92
ENSMUSG00000010045.2	823	743	1070	845	1263	1306
ENSMUSG00000010047.12	666	616	892	738	826	1193
ENSMUSG00000010048.10	255.001	298	412	313.982	452.999	493.999
ENSMUSG00000010051.15	148.522	48.39	229.337	92	197.66	218.796
ENSMUSG00000010054.4	848.883	812.593	1278.997	939	1297.987	1244
ENSMUSG00000010057.8	264	284	402	300	400.999	424.001
ENSMUSG00000010064.15	69	52	76	125	131	240
ENSMUSG00000010066.15	15	5	5.003	11.006	0	59
ENSMUSG00000010067.13	602.002	661.001	1166.994	777	987.982	1110.115
ENSMUSG00000010080.15	1476	1184.001	1373.001	1344	2511.004	1882
ENSMUSG00000010086.17	4	0	0	3	1	5
ENSMUSG00000010095.13	6866.279	4420.458	8271.002	5771.156	8126.115	8925.985
ENSMUSG00000010097.15	1129	1094.999	1632	1201.001	1674.999	1667.001
ENSMUSG00000010110.17	1576.051	2018.357	2693.552	1798.2	2550.111	2449.849
ENSMUSG00000010122.14	115	71	62	169	22	432
ENSMUSG00000010136.14	1	0	0	1	0	0
ENSMUSG00000010142.12	8	10	5	6	17	13
ENSMUSG00000010154.7	8	5	34	18	35	25
ENSMUSG00000010175.13	36	12	63	28	51	54
ENSMUSG00000010205.11	986.344	941.087	1150.376	988.729	1249.067	1477.774
ENSMUSG00000010277.7	2012.001	1153.001	1992	1879	3138	3905.001
ENSMUSG00000010290.7	458	387	575	524	748	621
