	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000000562.5	0	2	1	2.478	5.421	6.272
ENSMUSG00000000563.17	3072	5095.496	5526.016	4661.77	4781.999	5782.009
ENSMUSG00000000567.5	125	76	89	59	101	63
ENSMUSG00000000568.15	2178.209	3142.244	3769.48	2478.313	3968.609	3427.015
ENSMUSG00000000579.14	11.893	5.561	16.468	8.348	10.218	10.489
ENSMUSG00000000581.8	790	1150	1263.001	1323	1024	1460.999
ENSMUSG00000000594.7	13419	10295	16462	13247	19757	16629
ENSMUSG00000000600.15	546.299	553.609	800.65	651.51	951.571	925.399
ENSMUSG00000000605.9	1180.999	748	1481	994.001	1587	1620.999
ENSMUSG00000000606.18	0	0	0	1.068	6.124	2.027
ENSMUSG00000000617.14	0	0	0	0	1	0
ENSMUSG00000000627.15	2.078	3.818	5	6.002	6.061	7.15
ENSMUSG00000000628.10	2000	1324	3002	1404	3035	2575
ENSMUSG00000000631.20	2615.291	2397.123	2423.42	2294.146	3641.11	4188.238
ENSMUSG00000000632.13	2	1	4	4	1	2
ENSMUSG00000000673.9	100	158	84	333.001	43	459.999
ENSMUSG00000000682.7	48	56	88	66	70	53
ENSMUSG00000000686.11	44	32	45	41	62	66
ENSMUSG00000000690.5	7	11	15	19	28.718	20.032
ENSMUSG00000000693.10	29	24	27	51	34	64
ENSMUSG00000000701.8	0	0	0	1.133	0	1
ENSMUSG00000000706.16	23.775	8	56	48	28	33.001
ENSMUSG00000000708.14	543	367	633	565	837	944
ENSMUSG00000000711.3	2804	2357	3387	2529	4074	4020.115
ENSMUSG00000000724.10	0	0	2	0	0	0
ENSMUSG00000000730.13	58	50	33	65	82	57
ENSMUSG00000000731.15	0	1.412	0	0	0	3.644
ENSMUSG00000000732.9	75	32	83	54	46.001	90
ENSMUSG00000000738.18	705.002	579.018	952.999	803	1106	1273.996
ENSMUSG00000000739.14	16.139	19.285	25.544	38.272	33.559	39.18
ENSMUSG00000000740.12	2235.195	3370.879	4025.411	3636.796	3509.349	3894.161
ENSMUSG00000000743.9	1905	1927	2595	2104	2916	2877.999
ENSMUSG00000000751.13	619.999	714.001	986	839	1237	1075
ENSMUSG00000000753.15	171	70	75.001	197	26	679
ENSMUSG00000000759.14	533	564	898.999	597.681	980.999	760.194
ENSMUSG00000000766.18	2	1	3	2	0	2
ENSMUSG00000000776.13	544	525.999	735.999	537	805.001	658
ENSMUSG00000000782.16	86	48	129.999	85	122	84
ENSMUSG00000000787.12	8909.983	7047.091	12055.992	7836.926	12612.624	13325.448
ENSMUSG00000000791.9	16.002	8	25.027	14	20	20
ENSMUSG00000000792.2	155	81	137	190	190	206
ENSMUSG00000000794.9	22	14	10	45	6	85
ENSMUSG00000000804.14	1335.001	869	1398.001	1153.001	1785.999	1760.999
ENSMUSG00000000805.18	5111.999	4855	6088	6072.999	6950	7729
ENSMUSG00000000811.13	87	98	129	108	113	99
ENSMUSG00000000817.10	15	22	17	50	47	13
ENSMUSG00000000823.16	569.461	371	586.432	625.999	843.947	1195.577
ENSMUSG00000000826.16	1984	1297	2322	1810	2939	3262
ENSMUSG00000000827.18	1251.999	1597	2074	1588	1727	2015.001
ENSMUSG00000000838.17	1423.57	1293.056	1791.577	1424.57	2113.325	2379.653
ENSMUSG00000000861.15	16.001	2	18.001	11	11	14.999
ENSMUSG00000000869.12	0	0	0	0	0	1
ENSMUSG00000000876.11	966.532	916.425	1144.674	952.914	1162.045	1584.974
ENSMUSG00000000881.12	2052.999	1476	2580	1767	2793	2781
ENSMUSG00000000884.17	49	71	88	79.001	94.999	93.001
ENSMUSG00000000889.8	0	0	0	1	0	0
ENSMUSG00000000901.17	577.999	353	664.003	534	1003.001	881
ENSMUSG00000000902.13	1567.551	2050.307	2160.144	1861.634	2373.755	2244.881
ENSMUSG00000000903.3	7	4	2	3	1	6
ENSMUSG00000000915.15	1307.067	1162.58	1809.214	1226.401	1835.201	2284.601
ENSMUSG00000000916.15	141.999	154.999	211.001	136	213.999	227
ENSMUSG00000000934.9	486	564	857.999	504	715	589
ENSMUSG00000000938.11	814	896	1488.001	1602	2579	2017
ENSMUSG00000000942.10	5	10	18	3	8	17
ENSMUSG00000000948.16	68.601	49.709	10.142	43.713	78.182	69.977
ENSMUSG00000000957.11	1315.85	609.516	1528.236	1528.256	2552.27	3061.472
ENSMUSG00000000958.10	1034	881.001	1339	1045.999	1010.001	1896
ENSMUSG00000000959.7	792	735	1088.999	783	1095	1004
ENSMUSG00000000976.13	211.202	189.68	261.412	246.118	285.916	332.021
ENSMUSG00000000982.5	5	10	74	15	27	13
ENSMUSG00000000983.13	0	0	1	1	0	1
ENSMUSG00000001014.6	37	31	69	45	87	66
ENSMUSG00000001016.12	985.151	1304.413	1398.32	1266.366	1553.155	1582.656
ENSMUSG00000001017.15	2273.001	2485	3198.52	2558	3329	3345.844
ENSMUSG00000001018.15	924.001	883.001	1159	1132	1343	1497
ENSMUSG00000001020.8	54	107	136	112	98	99
ENSMUSG00000001021.13	2	8	11	7	10	7
ENSMUSG00000001023.10	16	26	39	25	32	27
ENSMUSG00000001025.8	10553	16482	24111	14777	17152	16560.999
ENSMUSG00000001027.7	7	2	11	10	3.011	4
ENSMUSG00000001029.15	103	124	256	142	198	141
ENSMUSG00000001034.17	291	288	393	312	476	431.999
ENSMUSG00000001036.17	768	417	984	889.999	1323	1370.999
ENSMUSG00000001039.12	108	153	188.999	175	185.999	163
ENSMUSG00000001052.15	1510.999	1459.001	2032	1373	2147	2147
ENSMUSG00000001053.15	186	285	451	336	535	312
ENSMUSG00000001054.9	478.999	658	784.999	694.001	972	970.999
ENSMUSG00000001056.3	680	1048	992	1114	911	1602
ENSMUSG00000001062.18	250.174	177	336	251.604	345.279	279
ENSMUSG00000001065.15	402	271	503	270.001	446.998	422.999
ENSMUSG00000001076.7	5	1	12	7	7	9
ENSMUSG00000001082.12	582	400.999	737.999	540.999	923	819.999
ENSMUSG00000001089.14	1733	896	1956	1340	2666	2216
ENSMUSG00000001095.5	6	1	7	22	23	37
ENSMUSG00000001098.15	6328.964	5956.982	8361.993	5650.993	8538.988	7869.972
ENSMUSG00000001100.10	920.244	1137.35	1363.076	1270.371	1358.402	1678.027
ENSMUSG00000001103.7	0	0	0	0	0	0
ENSMUSG00000001105.15	1406	2069	2138.001	1709	1719	2030
ENSMUSG00000001119.7	242	80	118	361	131	635
ENSMUSG00000001120.15	107	87	151.999	121	227.999	171
ENSMUSG00000001123.15	12326	18152	21999	13099	19407	14567
ENSMUSG00000001127.12	973.016	988.642	1414.623	1204.123	1541.187	1652.386
ENSMUSG00000001128.7	27	29	71	30	52	28
ENSMUSG00000001131.11	115	128	277	186	250	241
ENSMUSG00000001134.9	134	205.516	217.999	205	177	234
ENSMUSG00000001138.13	452.731	206.716	449.923	398.736	720.248	715.433
ENSMUSG00000001143.13	832.654	456.207	992.674	657.977	1141.28	1006.569
ENSMUSG00000001150.7	588	460.001	586	504	763.999	804
ENSMUSG00000001151.10	313	191.001	268.204	268	457.001	419
ENSMUSG00000001155.13	129	80	48.085	202.999	11	451
ENSMUSG00000001156.9	400	248	483	387	575	618
ENSMUSG00000001157.13	624.011	544.079	775.038	681.097	954.023	987.27
