counts	gene
1	12112	ENSMUSG00000000001.4
2	0	ENSMUSG00000000003.15
3	329.004	ENSMUSG00000000028.15
4	2	ENSMUSG00000000037.17
5	16	ENSMUSG00000000049.11
6	980	ENSMUSG00000000056.7
7	336	ENSMUSG00000000058.6
8	9399	ENSMUSG00000000078.7
9	331.999	ENSMUSG00000000085.16
10	2995.894	ENSMUSG00000000088.7
11	169	ENSMUSG00000000093.6
12	31	ENSMUSG00000000094.12
13	0	ENSMUSG00000000103.12
14	24.126	ENSMUSG00000000120.6
15	21	ENSMUSG00000000125.5
16	98	ENSMUSG00000000126.11
17	1515.999	ENSMUSG00000000127.15
18	1972.054	ENSMUSG00000000131.15
19	1078.999	ENSMUSG00000000134.17
20	481	ENSMUSG00000000142.15
21	635	ENSMUSG00000000148.17
22	2694	ENSMUSG00000000149.10
23	989	ENSMUSG00000000154.16
24	0	ENSMUSG00000000157.16
25	17	ENSMUSG00000000159.16
26	16	ENSMUSG00000000167.14
27	1636	ENSMUSG00000000168.9
28	2214	ENSMUSG00000000171.5
29	0	ENSMUSG00000000182.9
30	1.001	ENSMUSG00000000183.6
31	241	ENSMUSG00000000184.12
32	3345.871	ENSMUSG00000000194.13
33	0	ENSMUSG00000000197.8
34	5	ENSMUSG00000000202.9
35	160.611	ENSMUSG00000000204.16
36	72	ENSMUSG00000000214.11
37	2	ENSMUSG00000000215.11
38	165	ENSMUSG00000000216.8
39	186.65	ENSMUSG00000000223.13
40	15.187	ENSMUSG00000000244.17
41	380	ENSMUSG00000000247.11
42	1	ENSMUSG00000000248.16
43	261	ENSMUSG00000000253.13
44	0	ENSMUSG00000000263.15
45	393	ENSMUSG00000000266.11
46	3727.264	ENSMUSG00000000275.16
47	647.019	ENSMUSG00000000276.11
48	8090	ENSMUSG00000000278.10
49	1530	ENSMUSG00000000282.12
50	261	ENSMUSG00000000290.13
51	112	ENSMUSG00000000295.13
52	46	ENSMUSG00000000296.8
53	65	ENSMUSG00000000301.16
54	2177	ENSMUSG00000000303.12
55	108.001	ENSMUSG00000000305.12
56	67	ENSMUSG00000000308.14
57	110	ENSMUSG00000000317.11
58	10.407	ENSMUSG00000000318.16
59	55.015	ENSMUSG00000000320.10
60	1863	ENSMUSG00000000325.16
61	1758.857	ENSMUSG00000000326.13
62	613.999	ENSMUSG00000000339.14
63	544.694	ENSMUSG00000000340.10
64	4460.374	ENSMUSG00000000346.9
65	442	ENSMUSG00000000355.13
66	11	ENSMUSG00000000359.3
67	83	ENSMUSG00000000365.9
68	1746	ENSMUSG00000000374.8
69	1950.999	ENSMUSG00000000378.15
70	0	ENSMUSG00000000381.10
71	845.802	ENSMUSG00000000384.15
72	972	ENSMUSG00000000385.8
73	5.052	ENSMUSG00000000392.17
74	0	ENSMUSG00000000394.15
75	1715.004	ENSMUSG00000000399.10
76	23.995	ENSMUSG00000000402.2
77	38	ENSMUSG00000000409.14
78	7	ENSMUSG00000000411.7
79	23	ENSMUSG00000000416.16
80	4409.001	ENSMUSG00000000420.15
81	2	ENSMUSG00000000435.1
82	709.781	ENSMUSG00000000439.9
83	4720.999	ENSMUSG00000000440.12
84	3131.333	ENSMUSG00000000441.17
85	84	ENSMUSG00000000486.13
86	788	ENSMUSG00000000489.7
87	1502.998	ENSMUSG00000000530.16
88	418	ENSMUSG00000000531.5
89	934	ENSMUSG00000000532.11
90	987	ENSMUSG00000000538.18
91	10	ENSMUSG00000000544.14
92	163	ENSMUSG00000000552.10
93	6343.999	ENSMUSG00000000555.8
94	0	ENSMUSG00000000560.9
95	1436.701	ENSMUSG00000000561.14
96	5.421	ENSMUSG00000000562.5
97	4781.999	ENSMUSG00000000563.17
98	101	ENSMUSG00000000567.5
99	3968.609	ENSMUSG00000000568.15
100	10.218	ENSMUSG00000000579.14
101	1024	ENSMUSG00000000581.8
102	19757	ENSMUSG00000000594.7
103	951.571	ENSMUSG00000000600.15
104	1587	ENSMUSG00000000605.9
105	6.124	ENSMUSG00000000606.18
106	1	ENSMUSG00000000617.14
107	6.061	ENSMUSG00000000627.15
108	3035	ENSMUSG00000000628.10
109	3641.11	ENSMUSG00000000631.20
110	1	ENSMUSG00000000632.13
111	43	ENSMUSG00000000673.9
112	70	ENSMUSG00000000682.7
113	62	ENSMUSG00000000686.11
114	28.718	ENSMUSG00000000690.5
115	34	ENSMUSG00000000693.10
116	0	ENSMUSG00000000701.8
117	28	ENSMUSG00000000706.16
118	837	ENSMUSG00000000708.14
119	4074	ENSMUSG00000000711.3
120	0	ENSMUSG00000000724.10
121	82	ENSMUSG00000000730.13
122	0	ENSMUSG00000000731.15
123	46.001	ENSMUSG00000000732.9
124	1106	ENSMUSG00000000738.18
125	33.559	ENSMUSG00000000739.14
126	3509.349	ENSMUSG00000000740.12
127	2916	ENSMUSG00000000743.9
128	1237	ENSMUSG00000000751.13
129	26	ENSMUSG00000000753.15
130	980.999	ENSMUSG00000000759.14
131	0	ENSMUSG00000000766.18
132	805.001	ENSMUSG00000000776.13
133	122	ENSMUSG00000000782.16
134	12612.624	ENSMUSG00000000787.12
135	20	ENSMUSG00000000791.9
136	190	ENSMUSG00000000792.2
137	6	ENSMUSG00000000794.9
138	1785.999	ENSMUSG00000000804.14
139	6950	ENSMUSG00000000805.18
140	113	ENSMUSG00000000811.13
141	47	ENSMUSG00000000817.10
142	843.947	ENSMUSG00000000823.16
143	2939	ENSMUSG00000000826.16
144	1727	ENSMUSG00000000827.18
145	2113.325	ENSMUSG00000000838.17
146	11	ENSMUSG00000000861.15
147	0	ENSMUSG00000000869.12
148	1162.045	ENSMUSG00000000876.11
149	2793	ENSMUSG00000000881.12
150	94.999	ENSMUSG00000000884.17
151	0	ENSMUSG00000000889.8
152	1003.001	ENSMUSG00000000901.17
153	2373.755	ENSMUSG00000000902.13
154	1	ENSMUSG00000000903.3
155	1835.201	ENSMUSG00000000915.15
156	213.999	ENSMUSG00000000916.15
157	715	ENSMUSG00000000934.9
158	2579	ENSMUSG00000000938.11
159	8	ENSMUSG00000000942.10
160	78.182	ENSMUSG00000000948.16
161	2552.27	ENSMUSG00000000957.11
162	1010.001	ENSMUSG00000000958.10
163	1095	ENSMUSG00000000959.7
164	285.916	ENSMUSG00000000976.13
165	27	ENSMUSG00000000982.5
166	0	ENSMUSG00000000983.13
167	87	ENSMUSG00000001014.6
168	1553.155	ENSMUSG00000001016.12
169	3329	ENSMUSG00000001017.15
170	1343	ENSMUSG00000001018.15
171	98	ENSMUSG00000001020.8
172	10	ENSMUSG00000001021.13
173	32	ENSMUSG00000001023.10
174	17152	ENSMUSG00000001025.8
175	3.011	ENSMUSG00000001027.7
176	198	ENSMUSG00000001029.15
177	476	ENSMUSG00000001034.17
178	1323	ENSMUSG00000001036.17
179	185.999	ENSMUSG00000001039.12
180	2147	ENSMUSG00000001052.15
181	535	ENSMUSG00000001053.15
182	972	ENSMUSG00000001054.9
183	911	ENSMUSG00000001056.3
184	345.279	ENSMUSG00000001062.18
185	446.998	ENSMUSG00000001065.15
186	7	ENSMUSG00000001076.7
187	923	ENSMUSG00000001082.12
188	2666	ENSMUSG00000001089.14
189	23	ENSMUSG00000001095.5
190	8538.988	ENSMUSG00000001098.15
191	1358.402	ENSMUSG00000001100.10
192	0	ENSMUSG00000001103.7
193	1719	ENSMUSG00000001105.15
194	131	ENSMUSG00000001119.7
195	227.999	ENSMUSG00000001120.15
196	19407	ENSMUSG00000001123.15
197	1541.187	ENSMUSG00000001127.12
198	52	ENSMUSG00000001128.7
199	250	ENSMUSG00000001131.11
200	177	ENSMUSG00000001134.9
201	720.248	ENSMUSG00000001138.13
202	1141.28	ENSMUSG00000001143.13
203	763.999	ENSMUSG00000001150.7
204	457.001	ENSMUSG00000001151.10
205	11	ENSMUSG00000001155.13
206	575	ENSMUSG00000001156.9
207	954.023	ENSMUSG00000001157.13
208	761.999	ENSMUSG00000001158.13
209	367.344	ENSMUSG00000001166.17
210	1.008	ENSMUSG00000001168.16
211	364.101	ENSMUSG00000001173.15
212	17820	ENSMUSG00000001175.15
213	1940.002	ENSMUSG00000001211.15
214	8	ENSMUSG00000001225.12
215	97	ENSMUSG00000001227.12
216	898.464	ENSMUSG00000001228.14
217	922	ENSMUSG00000001229.9
218	486.319	ENSMUSG00000001240.13
219	1002.974	ENSMUSG00000001247.16
220	1671.999	ENSMUSG00000001248.15
221	67	ENSMUSG00000001249.14
222	1	ENSMUSG00000001260.10
223	3549	ENSMUSG00000001270.9
224	2684	ENSMUSG00000001280.13
225	124	ENSMUSG00000001281.10
226	473	ENSMUSG00000001285.12
227	455	ENSMUSG00000001288.15
228	2025.184	ENSMUSG00000001289.12
229	1157	ENSMUSG00000001300.16
230	482	ENSMUSG00000001305.5
231	3795.022	ENSMUSG00000001313.12
232	1008.038	ENSMUSG00000001323.17
233	104	ENSMUSG00000001333.9
234	265	ENSMUSG00000001334.9
235	411.001	ENSMUSG00000001348.15
236	11	ENSMUSG00000001349.5
237	697.001	ENSMUSG00000001366.14
238	827.004	ENSMUSG00000001376.17
239	1471	ENSMUSG00000001380.7
240	2054	ENSMUSG00000001383.9
241	385.69	ENSMUSG00000001403.13
242	2933.446	ENSMUSG00000001415.10
243	5969.131	ENSMUSG00000001416.13
244	7302.886	ENSMUSG00000001418.13
245	3497	ENSMUSG00000001419.17
246	384.001	ENSMUSG00000001420.13
247	6544.001	ENSMUSG00000001424.14
248	663	ENSMUSG00000001435.15
249	289.999	ENSMUSG00000001436.15
250	6142	ENSMUSG00000001440.5
251	2554.343	ENSMUSG00000001441.13
252	5	ENSMUSG00000001444.2
253	1482.427	ENSMUSG00000001445.10
254	991	ENSMUSG00000001467.5
255	4918	ENSMUSG00000001472.17
256	1362.492	ENSMUSG00000001473.7
257	949.77	ENSMUSG00000001482.15
258	12	ENSMUSG00000001493.9
259	0	ENSMUSG00000001494.6
260	5.618	ENSMUSG00000001496.15
261	5.059	ENSMUSG00000001497.18
262	154	ENSMUSG00000001504.10
263	1907	ENSMUSG00000001506.10
264	5946.999	ENSMUSG00000001507.16
265	0	ENSMUSG00000001508.15
266	1351	ENSMUSG00000001510.8
267	191.001	ENSMUSG00000001517.14
268	275.807	ENSMUSG00000001518.12
269	19	ENSMUSG00000001520.12
270	312.123	ENSMUSG00000001521.12
