abundance	gene
ENSMUSG00000000001.4	70.693238	ENSMUSG00000000001.4
ENSMUSG00000000003.15	0	ENSMUSG00000000003.15
ENSMUSG00000000028.15	2.430466	ENSMUSG00000000028.15
ENSMUSG00000000037.17	0.013777	ENSMUSG00000000037.17
ENSMUSG00000000049.11	1.315439	ENSMUSG00000000049.11
ENSMUSG00000000056.7	10.00139	ENSMUSG00000000056.7
ENSMUSG00000000058.6	1.770153	ENSMUSG00000000058.6
ENSMUSG00000000078.7	42.749974	ENSMUSG00000000078.7
ENSMUSG00000000085.16	7.050801	ENSMUSG00000000085.16
ENSMUSG00000000088.7	159.855595	ENSMUSG00000000088.7
ENSMUSG00000000093.6	1.613899	ENSMUSG00000000093.6
ENSMUSG00000000094.12	0.254182	ENSMUSG00000000094.12
ENSMUSG00000000103.12	0	ENSMUSG00000000103.12
ENSMUSG00000000120.6	0.099381	ENSMUSG00000000120.6
ENSMUSG00000000125.5	0.130704	ENSMUSG00000000125.5
ENSMUSG00000000126.11	0.264875	ENSMUSG00000000126.11
ENSMUSG00000000127.15	11.629673	ENSMUSG00000000127.15
ENSMUSG00000000131.15	57.167205	ENSMUSG00000000131.15
ENSMUSG00000000134.17	9.636996	ENSMUSG00000000134.17
ENSMUSG00000000142.15	1.581364	ENSMUSG00000000142.15
ENSMUSG00000000148.17	2.990579	ENSMUSG00000000148.17
ENSMUSG00000000149.10	12.034735	ENSMUSG00000000149.10
ENSMUSG00000000154.16	8.460236	ENSMUSG00000000154.16
ENSMUSG00000000157.16	0.015845	ENSMUSG00000000157.16
ENSMUSG00000000159.16	0.515152	ENSMUSG00000000159.16
ENSMUSG00000000167.14	0.385872	ENSMUSG00000000167.14
ENSMUSG00000000168.9	15.828507	ENSMUSG00000000168.9
ENSMUSG00000000171.5	52.715947	ENSMUSG00000000171.5
ENSMUSG00000000182.9	0.02361	ENSMUSG00000000182.9
ENSMUSG00000000183.6	0.011585	ENSMUSG00000000183.6
ENSMUSG00000000184.12	1.308424	ENSMUSG00000000184.12
ENSMUSG00000000194.13	40.419325	ENSMUSG00000000194.13
ENSMUSG00000000197.8	0.015645	ENSMUSG00000000197.8
ENSMUSG00000000202.9	0.02517	ENSMUSG00000000202.9
ENSMUSG00000000204.16	1.514694	ENSMUSG00000000204.16
ENSMUSG00000000214.11	0.929755	ENSMUSG00000000214.11
ENSMUSG00000000215.11	0.269054	ENSMUSG00000000215.11
ENSMUSG00000000216.8	0.963505	ENSMUSG00000000216.8
ENSMUSG00000000223.13	0.691816	ENSMUSG00000000223.13
ENSMUSG00000000244.17	0.202891	ENSMUSG00000000244.17
ENSMUSG00000000247.11	5.657176	ENSMUSG00000000247.11
ENSMUSG00000000248.16	0.078545	ENSMUSG00000000248.16
ENSMUSG00000000253.13	6.698062	ENSMUSG00000000253.13
ENSMUSG00000000263.15	0	ENSMUSG00000000263.15
ENSMUSG00000000266.11	1.065321	ENSMUSG00000000266.11
ENSMUSG00000000275.16	9.069651	ENSMUSG00000000275.16
ENSMUSG00000000276.11	1.010078	ENSMUSG00000000276.11
ENSMUSG00000000278.10	78.818836	ENSMUSG00000000278.10
ENSMUSG00000000282.12	6.405942	ENSMUSG00000000282.12
ENSMUSG00000000290.13	1.269692	ENSMUSG00000000290.13
ENSMUSG00000000295.13	5.687736	ENSMUSG00000000295.13
ENSMUSG00000000296.8	0.861424	ENSMUSG00000000296.8
ENSMUSG00000000301.16	2.676221	ENSMUSG00000000301.16
ENSMUSG00000000303.12	5.991905	ENSMUSG00000000303.12
ENSMUSG00000000305.12	0.42124	ENSMUSG00000000305.12
ENSMUSG00000000308.14	2.017973	ENSMUSG00000000308.14
ENSMUSG00000000317.11	0.177816	ENSMUSG00000000317.11
ENSMUSG00000000318.16	1.13812	ENSMUSG00000000318.16
ENSMUSG00000000320.10	0.390748	ENSMUSG00000000320.10
ENSMUSG00000000325.16	24.096554	ENSMUSG00000000325.16
ENSMUSG00000000326.13	25.082547	ENSMUSG00000000326.13
ENSMUSG00000000339.14	7.163253	ENSMUSG00000000339.14
ENSMUSG00000000340.10	2.710066	ENSMUSG00000000340.10
ENSMUSG00000000346.9	46.621989	ENSMUSG00000000346.9
ENSMUSG00000000355.13	25.89973	ENSMUSG00000000355.13
ENSMUSG00000000359.3	0.321163	ENSMUSG00000000359.3
ENSMUSG00000000365.9	0.904832	ENSMUSG00000000365.9
ENSMUSG00000000374.8	4.66987	ENSMUSG00000000374.8
ENSMUSG00000000378.15	29.804077	ENSMUSG00000000378.15
ENSMUSG00000000381.10	0	ENSMUSG00000000381.10
ENSMUSG00000000384.15	10.676764	ENSMUSG00000000384.15
ENSMUSG00000000385.8	11.79765	ENSMUSG00000000385.8
ENSMUSG00000000392.17	0.022152	ENSMUSG00000000392.17
ENSMUSG00000000394.15	0	ENSMUSG00000000394.15
ENSMUSG00000000399.10	33.891917	ENSMUSG00000000399.10
ENSMUSG00000000402.2	0.047499	ENSMUSG00000000402.2
ENSMUSG00000000409.14	0.510974	ENSMUSG00000000409.14
ENSMUSG00000000411.7	0.107517	ENSMUSG00000000411.7
ENSMUSG00000000416.16	0.009296	ENSMUSG00000000416.16
ENSMUSG00000000420.15	17.273537	ENSMUSG00000000420.15
ENSMUSG00000000435.1	0	ENSMUSG00000000435.1
ENSMUSG00000000439.9	5.847589	ENSMUSG00000000439.9
ENSMUSG00000000440.12	71.674569	ENSMUSG00000000440.12
ENSMUSG00000000441.17	66.588015	ENSMUSG00000000441.17
ENSMUSG00000000486.13	5.305799	ENSMUSG00000000486.13
ENSMUSG00000000489.7	4.932249	ENSMUSG00000000489.7
ENSMUSG00000000530.16	32.831289	ENSMUSG00000000530.16
ENSMUSG00000000531.5	4.61876	ENSMUSG00000000531.5
ENSMUSG00000000532.11	4.130184	ENSMUSG00000000532.11
ENSMUSG00000000538.18	3.400887	ENSMUSG00000000538.18
ENSMUSG00000000544.14	0.018681	ENSMUSG00000000544.14
ENSMUSG00000000552.10	1.433408	ENSMUSG00000000552.10
ENSMUSG00000000555.8	19.984125	ENSMUSG00000000555.8
ENSMUSG00000000560.9	0.019972	ENSMUSG00000000560.9
ENSMUSG00000000561.14	11.655462	ENSMUSG00000000561.14
ENSMUSG00000000562.5	0.019046	ENSMUSG00000000562.5
ENSMUSG00000000563.17	197.122978	ENSMUSG00000000563.17
ENSMUSG00000000567.5	0.423129	ENSMUSG00000000567.5
ENSMUSG00000000568.15	102.525707	ENSMUSG00000000568.15
ENSMUSG00000000579.14	0.265731	ENSMUSG00000000579.14
ENSMUSG00000000581.8	13.513288	ENSMUSG00000000581.8
ENSMUSG00000000594.7	78.426017	ENSMUSG00000000594.7
ENSMUSG00000000600.15	5.321269	ENSMUSG00000000600.15
ENSMUSG00000000605.9	6.789313	ENSMUSG00000000605.9
ENSMUSG00000000606.18	0	ENSMUSG00000000606.18
ENSMUSG00000000617.14	0	ENSMUSG00000000617.14
ENSMUSG00000000627.15	0.382856	ENSMUSG00000000627.15
ENSMUSG00000000628.10	30.674933	ENSMUSG00000000628.10
ENSMUSG00000000631.20	36.101959	ENSMUSG00000000631.20
ENSMUSG00000000632.13	0.024824	ENSMUSG00000000632.13
ENSMUSG00000000673.9	1.472862	ENSMUSG00000000673.9
ENSMUSG00000000682.7	6.135107	ENSMUSG00000000682.7
ENSMUSG00000000686.11	0.344541	ENSMUSG00000000686.11
ENSMUSG00000000690.5	0.258513	ENSMUSG00000000690.5
ENSMUSG00000000693.10	0.290615	ENSMUSG00000000693.10
ENSMUSG00000000701.8	0	ENSMUSG00000000701.8
ENSMUSG00000000706.16	0.325962	ENSMUSG00000000706.16
ENSMUSG00000000708.14	5.538346	ENSMUSG00000000708.14
ENSMUSG00000000711.3	21.507995	ENSMUSG00000000711.3
ENSMUSG00000000724.10	0.032757	ENSMUSG00000000724.10
ENSMUSG00000000730.13	0.975302	ENSMUSG00000000730.13
ENSMUSG00000000731.15	0	ENSMUSG00000000731.15
ENSMUSG00000000732.9	0.632472	ENSMUSG00000000732.9
ENSMUSG00000000738.18	24.093375	ENSMUSG00000000738.18
ENSMUSG00000000739.14	0.253351	ENSMUSG00000000739.14
ENSMUSG00000000740.12	157.795555	ENSMUSG00000000740.12
ENSMUSG00000000743.9	55.985477	ENSMUSG00000000743.9
ENSMUSG00000000751.13	7.348937	ENSMUSG00000000751.13
ENSMUSG00000000753.15	3.05842	ENSMUSG00000000753.15
ENSMUSG00000000759.14	8.295715	ENSMUSG00000000759.14
ENSMUSG00000000766.18	0.059597	ENSMUSG00000000766.18
ENSMUSG00000000776.13	14.964975	ENSMUSG00000000776.13
ENSMUSG00000000782.16	1.155404	ENSMUSG00000000782.16
ENSMUSG00000000787.12	50.1897	ENSMUSG00000000787.12
ENSMUSG00000000791.9	0.191204	ENSMUSG00000000791.9
ENSMUSG00000000792.2	0.944786	ENSMUSG00000000792.2
ENSMUSG00000000794.9	0.048084	ENSMUSG00000000794.9
ENSMUSG00000000804.14	6.929527	ENSMUSG00000000804.14
ENSMUSG00000000805.18	197.349679	ENSMUSG00000000805.18
ENSMUSG00000000811.13	0.921252	ENSMUSG00000000811.13
ENSMUSG00000000817.10	0.186064	ENSMUSG00000000817.10
ENSMUSG00000000823.16	3.993184	ENSMUSG00000000823.16
ENSMUSG00000000826.16	13.9156	ENSMUSG00000000826.16
ENSMUSG00000000827.18	44.374573	ENSMUSG00000000827.18
ENSMUSG00000000838.17	9.65855	ENSMUSG00000000838.17
ENSMUSG00000000861.15	0.110852	ENSMUSG00000000861.15
ENSMUSG00000000869.12	0	ENSMUSG00000000869.12
ENSMUSG00000000876.11	11.400288	ENSMUSG00000000876.11
ENSMUSG00000000881.12	23.863621	ENSMUSG00000000881.12
ENSMUSG00000000884.17	3.848044	ENSMUSG00000000884.17
ENSMUSG00000000889.8	0	ENSMUSG00000000889.8
ENSMUSG00000000901.17	21.906501	ENSMUSG00000000901.17
ENSMUSG00000000902.13	31.023333	ENSMUSG00000000902.13
ENSMUSG00000000903.3	0.098271	ENSMUSG00000000903.3
ENSMUSG00000000915.15	14.248714	ENSMUSG00000000915.15
ENSMUSG00000000916.15	6.559427	ENSMUSG00000000916.15
ENSMUSG00000000934.9	12.586064	ENSMUSG00000000934.9
ENSMUSG00000000938.11	17.851015	ENSMUSG00000000938.11
ENSMUSG00000000942.10	0.24725	ENSMUSG00000000942.10
ENSMUSG00000000948.16	0.065857	ENSMUSG00000000948.16
ENSMUSG00000000957.11	15.354832	ENSMUSG00000000957.11
ENSMUSG00000000958.10	17.346287	ENSMUSG00000000958.10
ENSMUSG00000000959.7	21.608256	ENSMUSG00000000959.7
ENSMUSG00000000976.13	2.209955	ENSMUSG00000000976.13
ENSMUSG00000000982.5	2.644396	ENSMUSG00000000982.5
ENSMUSG00000000983.13	0.067923	ENSMUSG00000000983.13
ENSMUSG00000001014.6	1.68445	ENSMUSG00000001014.6
ENSMUSG00000001016.12	19.893565	ENSMUSG00000001016.12
ENSMUSG00000001017.15	30.805261	ENSMUSG00000001017.15
ENSMUSG00000001018.15	17.977936	ENSMUSG00000001018.15
ENSMUSG00000001020.8	10.090784	ENSMUSG00000001020.8
ENSMUSG00000001021.13	0.438932	ENSMUSG00000001021.13
ENSMUSG00000001023.10	4.164893	ENSMUSG00000001023.10
ENSMUSG00000001025.8	2073.868346	ENSMUSG00000001025.8
ENSMUSG00000001027.7	0.032009	ENSMUSG00000001027.7
ENSMUSG00000001029.15	6.806114	ENSMUSG00000001029.15
ENSMUSG00000001034.17	4.250527	ENSMUSG00000001034.17
ENSMUSG00000001036.17	4.801619	ENSMUSG00000001036.17
ENSMUSG00000001039.12	10.831623	ENSMUSG00000001039.12
ENSMUSG00000001052.15	34.475681	ENSMUSG00000001052.15
ENSMUSG00000001053.15	4.060172	ENSMUSG00000001053.15
ENSMUSG00000001054.9	12.401484	ENSMUSG00000001054.9
ENSMUSG00000001056.3	29.926707	ENSMUSG00000001056.3
ENSMUSG00000001062.18	8.212497	ENSMUSG00000001062.18
ENSMUSG00000001065.15	33.721025	ENSMUSG00000001065.15
ENSMUSG00000001076.7	0.18098	ENSMUSG00000001076.7
ENSMUSG00000001082.12	137.529974	ENSMUSG00000001082.12
ENSMUSG00000001089.14	6.044807	ENSMUSG00000001089.14
ENSMUSG00000001095.5	0.05979	ENSMUSG00000001095.5
ENSMUSG00000001098.15	56.092049	ENSMUSG00000001098.15
ENSMUSG00000001100.10	16.426974	ENSMUSG00000001100.10
ENSMUSG00000001103.7	0	ENSMUSG00000001103.7
ENSMUSG00000001105.15	71.79274	ENSMUSG00000001105.15
ENSMUSG00000001119.7	0.566101	ENSMUSG00000001119.7
ENSMUSG00000001120.15	2.331877	ENSMUSG00000001120.15
ENSMUSG00000001123.15	320.990963	ENSMUSG00000001123.15
ENSMUSG00000001127.12	20.862073	ENSMUSG00000001127.12
ENSMUSG00000001128.7	1.902659	ENSMUSG00000001128.7
ENSMUSG00000001131.11	8.726793	ENSMUSG00000001131.11
ENSMUSG00000001134.9	9.479513	ENSMUSG00000001134.9
ENSMUSG00000001138.13	2.315101	ENSMUSG00000001138.13
ENSMUSG00000001143.13	13.476873	ENSMUSG00000001143.13
ENSMUSG00000001150.7	12.384163	ENSMUSG00000001150.7
ENSMUSG00000001151.10	2.542391	ENSMUSG00000001151.10
ENSMUSG00000001155.13	0.434441	ENSMUSG00000001155.13
ENSMUSG00000001156.9	3.424602	ENSMUSG00000001156.9
ENSMUSG00000001157.13	5.305494	ENSMUSG00000001157.13
ENSMUSG00000001158.13	27.44537	ENSMUSG00000001158.13
ENSMUSG00000001166.17	4.928911	ENSMUSG00000001166.17
ENSMUSG00000001168.16	0.025413	ENSMUSG00000001168.16
ENSMUSG00000001173.15	1.938956	ENSMUSG00000001173.15
ENSMUSG00000001175.15	260.948484	ENSMUSG00000001175.15
ENSMUSG00000001211.15	24.826047	ENSMUSG00000001211.15
ENSMUSG00000001225.12	0.127877	ENSMUSG00000001225.12
ENSMUSG00000001227.12	0.48449	ENSMUSG00000001227.12
ENSMUSG00000001228.14	3.065283	ENSMUSG00000001228.14
ENSMUSG00000001229.9	4.694239	ENSMUSG00000001229.9
ENSMUSG00000001240.13	24.295997	ENSMUSG00000001240.13
ENSMUSG00000001247.16	7.667151	ENSMUSG00000001247.16
ENSMUSG00000001248.15	35.411609	ENSMUSG00000001248.15
ENSMUSG00000001249.14	11.866864	ENSMUSG00000001249.14
ENSMUSG00000001260.10	0	ENSMUSG00000001260.10
ENSMUSG00000001270.9	58.853908	ENSMUSG00000001270.9
ENSMUSG00000001280.13	10.439198	ENSMUSG00000001280.13
ENSMUSG00000001281.10	4.885938	ENSMUSG00000001281.10
ENSMUSG00000001285.12	21.035798	ENSMUSG00000001285.12
ENSMUSG00000001288.15	2.054367	ENSMUSG00000001288.15
ENSMUSG00000001289.12	368.710136	ENSMUSG00000001289.12
ENSMUSG00000001300.16	4.016961	ENSMUSG00000001300.16
ENSMUSG00000001305.5	8.106228	ENSMUSG00000001305.5
ENSMUSG00000001313.12	57.966214	ENSMUSG00000001313.12
ENSMUSG00000001323.17	14.597261	ENSMUSG00000001323.17
ENSMUSG00000001333.9	0.300884	ENSMUSG00000001333.9
ENSMUSG00000001334.9	3.571547	ENSMUSG00000001334.9
ENSMUSG00000001348.15	9.902081	ENSMUSG00000001348.15
ENSMUSG00000001349.5	0	ENSMUSG00000001349.5
ENSMUSG00000001366.14	17.108407	ENSMUSG00000001366.14
ENSMUSG00000001376.17	10.633799	ENSMUSG00000001376.17
ENSMUSG00000001380.7	23.360735	ENSMUSG00000001380.7
ENSMUSG00000001383.9	43.243592	ENSMUSG00000001383.9
ENSMUSG00000001403.13	13.660518	ENSMUSG00000001403.13
ENSMUSG00000001415.10	13.84156	ENSMUSG00000001415.10
ENSMUSG00000001416.13	180.854038	ENSMUSG00000001416.13
ENSMUSG00000001418.13	337.731574	ENSMUSG00000001418.13
ENSMUSG00000001419.17	22.055145	ENSMUSG00000001419.17
ENSMUSG00000001420.13	3.313822	ENSMUSG00000001420.13
ENSMUSG00000001424.14	260.24581	ENSMUSG00000001424.14
ENSMUSG00000001435.15	3.517941	ENSMUSG00000001435.15
ENSMUSG00000001436.15	1.719569	ENSMUSG00000001436.15
ENSMUSG00000001440.5	34.522509	ENSMUSG00000001440.5
ENSMUSG00000001441.13	36.011307	ENSMUSG00000001441.13
ENSMUSG00000001444.2	0.016503	ENSMUSG00000001444.2
ENSMUSG00000001445.10	18.306709	ENSMUSG00000001445.10
ENSMUSG00000001467.5	6.114154	ENSMUSG00000001467.5
ENSMUSG00000001472.17	1336.996438	ENSMUSG00000001472.17
ENSMUSG00000001473.7	12.230994	ENSMUSG00000001473.7
ENSMUSG00000001482.15	8.173608	ENSMUSG00000001482.15
ENSMUSG00000001493.9	0.046678	ENSMUSG00000001493.9
