abundance	gene
ENSMUSG00000001494.6	0	ENSMUSG00000001494.6
ENSMUSG00000001496.15	0.017784	ENSMUSG00000001496.15
ENSMUSG00000001497.18	0.118919	ENSMUSG00000001497.18
ENSMUSG00000001504.10	3.005709	ENSMUSG00000001504.10
ENSMUSG00000001506.10	8.756606	ENSMUSG00000001506.10
ENSMUSG00000001507.16	14.825991	ENSMUSG00000001507.16
ENSMUSG00000001508.15	0	ENSMUSG00000001508.15
ENSMUSG00000001510.8	5.617728	ENSMUSG00000001510.8
ENSMUSG00000001517.14	1.225748	ENSMUSG00000001517.14
ENSMUSG00000001518.12	19.60818	ENSMUSG00000001518.12
ENSMUSG00000001520.12	0.103505	ENSMUSG00000001520.12
ENSMUSG00000001521.12	1.319671	ENSMUSG00000001521.12
ENSMUSG00000001524.14	21.103425	ENSMUSG00000001524.14
ENSMUSG00000001525.10	95.101701	ENSMUSG00000001525.10
ENSMUSG00000001542.7	9.161348	ENSMUSG00000001542.7
ENSMUSG00000001552.14	144.819325	ENSMUSG00000001552.14
ENSMUSG00000001555.10	7.871793	ENSMUSG00000001555.10
ENSMUSG00000001558.5	0.156745	ENSMUSG00000001558.5
ENSMUSG00000001566.9	0.156657	ENSMUSG00000001566.9
ENSMUSG00000001569.10	9.232575	ENSMUSG00000001569.10
ENSMUSG00000001576.15	21.253859	ENSMUSG00000001576.15
ENSMUSG00000001583.13	0.642864	ENSMUSG00000001583.13
ENSMUSG00000001588.12	0.596011	ENSMUSG00000001588.12
ENSMUSG00000001604.14	0.925983	ENSMUSG00000001604.14
ENSMUSG00000001622.15	0.149394	ENSMUSG00000001622.15
ENSMUSG00000001627.12	151.47599	ENSMUSG00000001627.12
ENSMUSG00000001630.13	5.14627	ENSMUSG00000001630.13
ENSMUSG00000001632.16	6.234317	ENSMUSG00000001632.16
ENSMUSG00000001642.18	16.757735	ENSMUSG00000001642.18
ENSMUSG00000001655.6	0.016704	ENSMUSG00000001655.6
ENSMUSG00000001656.3	0.010426	ENSMUSG00000001656.3
ENSMUSG00000001657.7	0.19926	ENSMUSG00000001657.7
ENSMUSG00000001661.5	0.353562	ENSMUSG00000001661.5
ENSMUSG00000001663.10	1.006232	ENSMUSG00000001663.10
ENSMUSG00000001665.11	1.478897	ENSMUSG00000001665.11
ENSMUSG00000001666.8	29.136848	ENSMUSG00000001666.8
ENSMUSG00000001670.13	0	ENSMUSG00000001670.13
ENSMUSG00000001672.14	2.136726	ENSMUSG00000001672.14
ENSMUSG00000001674.11	22.04908	ENSMUSG00000001674.11
ENSMUSG00000001687.15	18.54561	ENSMUSG00000001687.15
ENSMUSG00000001700.10	8.704601	ENSMUSG00000001700.10
ENSMUSG00000001707.8	7.969999	ENSMUSG00000001707.8
ENSMUSG00000001729.14	149.88578	ENSMUSG00000001729.14
ENSMUSG00000001739.14	0.126937	ENSMUSG00000001739.14
ENSMUSG00000001741.12	0.245441	ENSMUSG00000001741.12
ENSMUSG00000001750.16	19.310912	ENSMUSG00000001750.16
ENSMUSG00000001751.9	11.083076	ENSMUSG00000001751.9
ENSMUSG00000001755.12	5.740559	ENSMUSG00000001755.12
ENSMUSG00000001761.7	1.19104	ENSMUSG00000001761.7
ENSMUSG00000001763.14	10.97429	ENSMUSG00000001763.14
ENSMUSG00000001767.5	7.606458	ENSMUSG00000001767.5
ENSMUSG00000001768.16	2.331516	ENSMUSG00000001768.16
ENSMUSG00000001773.14	0	ENSMUSG00000001773.14
ENSMUSG00000001774.8	16.268184	ENSMUSG00000001774.8
ENSMUSG00000001783.3	27.594617	ENSMUSG00000001783.3
ENSMUSG00000001785.13	5.193011	ENSMUSG00000001785.13
ENSMUSG00000001786.14	12.34131	ENSMUSG00000001786.14
ENSMUSG00000001794.13	192.244509	ENSMUSG00000001794.13
ENSMUSG00000001802.16	0.268482	ENSMUSG00000001802.16
ENSMUSG00000001804.9	0.085824	ENSMUSG00000001804.9
ENSMUSG00000001815.15	0	ENSMUSG00000001815.15
ENSMUSG00000001819.4	0.074429	ENSMUSG00000001819.4
ENSMUSG00000001823.5	0	ENSMUSG00000001823.5
ENSMUSG00000001827.12	131.337226	ENSMUSG00000001827.12
ENSMUSG00000001829.17	6.911434	ENSMUSG00000001829.17
ENSMUSG00000001833.17	35.222353	ENSMUSG00000001833.17
ENSMUSG00000001844.10	7.823206	ENSMUSG00000001844.10
ENSMUSG00000001847.14	166.735597	ENSMUSG00000001847.14
ENSMUSG00000001855.15	19.911599	ENSMUSG00000001855.15
ENSMUSG00000001864.13	343.112969	ENSMUSG00000001864.13
ENSMUSG00000001865.2	0.18475	ENSMUSG00000001865.2
ENSMUSG00000001870.16	6.714787	ENSMUSG00000001870.16
ENSMUSG00000001891.16	99.071522	ENSMUSG00000001891.16
ENSMUSG00000001901.15	0.248782	ENSMUSG00000001901.15
ENSMUSG00000001909.16	29.044835	ENSMUSG00000001909.16
ENSMUSG00000001910.5	5.460469	ENSMUSG00000001910.5
ENSMUSG00000001911.16	3.476241	ENSMUSG00000001911.16
ENSMUSG00000001918.17	6.523486	ENSMUSG00000001918.17
ENSMUSG00000001924.15	41.659874	ENSMUSG00000001924.15
ENSMUSG00000001930.17	3.868084	ENSMUSG00000001930.17
ENSMUSG00000001942.8	9.046907	ENSMUSG00000001942.8
ENSMUSG00000001943.8	4.27401	ENSMUSG00000001943.8
ENSMUSG00000001946.14	418.652777	ENSMUSG00000001946.14
ENSMUSG00000001948.10	3.595813	ENSMUSG00000001948.10
ENSMUSG00000001962.8	22.420427	ENSMUSG00000001962.8
ENSMUSG00000001964.14	19.251388	ENSMUSG00000001964.14
ENSMUSG00000001983.7	3.453887	ENSMUSG00000001983.7
ENSMUSG00000001985.9	0.095699	ENSMUSG00000001985.9
ENSMUSG00000001986.16	0.075686	ENSMUSG00000001986.16
ENSMUSG00000001988.9	0	ENSMUSG00000001988.9
ENSMUSG00000001995.9	4.999451	ENSMUSG00000001995.9
ENSMUSG00000001998.15	0.798871	ENSMUSG00000001998.15
ENSMUSG00000001999.15	19.570157	ENSMUSG00000001999.15
ENSMUSG00000002006.12	0.059581	ENSMUSG00000002006.12
ENSMUSG00000002007.5	0.030016	ENSMUSG00000002007.5
ENSMUSG00000002010.17	49.876857	ENSMUSG00000002010.17
ENSMUSG00000002012.13	0.960853	ENSMUSG00000002012.13
ENSMUSG00000002014.12	231.252086	ENSMUSG00000002014.12
ENSMUSG00000002015.5	161.570884	ENSMUSG00000002015.5
ENSMUSG00000002017.10	9.288003	ENSMUSG00000002017.10
ENSMUSG00000002020.15	2.582896	ENSMUSG00000002020.15
ENSMUSG00000002028.13	0.714523	ENSMUSG00000002028.13
ENSMUSG00000002031.13	92.945828	ENSMUSG00000002031.13
ENSMUSG00000002032.17	0.428936	ENSMUSG00000002032.17
ENSMUSG00000002033.14	0.016135	ENSMUSG00000002033.14
ENSMUSG00000002043.17	32.716192	ENSMUSG00000002043.17
ENSMUSG00000002052.6	9.252683	ENSMUSG00000002052.6
ENSMUSG00000002055.9	12.193373	ENSMUSG00000002055.9
ENSMUSG00000002057.4	0.037386	ENSMUSG00000002057.4
ENSMUSG00000002058.13	22.507224	ENSMUSG00000002058.13
ENSMUSG00000002059.18	10.364201	ENSMUSG00000002059.18
ENSMUSG00000002064.10	102.421453	ENSMUSG00000002064.10
ENSMUSG00000002068.16	1.556334	ENSMUSG00000002068.16
ENSMUSG00000002076.12	3.083669	ENSMUSG00000002076.12
ENSMUSG00000002083.13	2.862678	ENSMUSG00000002083.13
ENSMUSG00000002100.15	0.256796	ENSMUSG00000002100.15
ENSMUSG00000002102.15	95.991092	ENSMUSG00000002102.15
ENSMUSG00000002103.16	7.754299	ENSMUSG00000002103.16
ENSMUSG00000002104.11	0.061532	ENSMUSG00000002104.11
ENSMUSG00000002105.15	25.879594	ENSMUSG00000002105.15
ENSMUSG00000002107.18	1.545377	ENSMUSG00000002107.18
ENSMUSG00000002108.10	2.138127	ENSMUSG00000002108.10
ENSMUSG00000002109.14	1.769835	ENSMUSG00000002109.14
ENSMUSG00000002111.8	1.352886	ENSMUSG00000002111.8
ENSMUSG00000002129.11	7.838289	ENSMUSG00000002129.11
ENSMUSG00000002147.18	19.539787	ENSMUSG00000002147.18
ENSMUSG00000002190.13	0.015172	ENSMUSG00000002190.13
ENSMUSG00000002204.9	2.635597	ENSMUSG00000002204.9
ENSMUSG00000002205.16	14.209289	ENSMUSG00000002205.16
ENSMUSG00000002210.11	7.504045	ENSMUSG00000002210.11
ENSMUSG00000002221.11	4.363174	ENSMUSG00000002221.11
ENSMUSG00000002222.14	5.326746	ENSMUSG00000002222.14
ENSMUSG00000002227.15	8.023886	ENSMUSG00000002227.15
ENSMUSG00000002228.7	0.855366	ENSMUSG00000002228.7
ENSMUSG00000002233.13	160.661181	ENSMUSG00000002233.13
ENSMUSG00000002240.12	0	ENSMUSG00000002240.12
ENSMUSG00000002249.21	12.64411	ENSMUSG00000002249.21
ENSMUSG00000002250.16	8.198133	ENSMUSG00000002250.16
ENSMUSG00000002257.8	1.492555	ENSMUSG00000002257.8
ENSMUSG00000002265.17	37.589634	ENSMUSG00000002265.17
ENSMUSG00000002266.17	6.005063	ENSMUSG00000002266.17
ENSMUSG00000002274.13	1.647879	ENSMUSG00000002274.13
ENSMUSG00000002279.19	13.139886	ENSMUSG00000002279.19
ENSMUSG00000002280.11	6.500523	ENSMUSG00000002280.11
ENSMUSG00000002289.16	4.064774	ENSMUSG00000002289.16
ENSMUSG00000002297.16	5.158369	ENSMUSG00000002297.16
ENSMUSG00000002307.16	32.074087	ENSMUSG00000002307.16
ENSMUSG00000002308.16	75.278637	ENSMUSG00000002308.16
ENSMUSG00000002319.16	98.295011	ENSMUSG00000002319.16
ENSMUSG00000002320.15	27.896278	ENSMUSG00000002320.15
ENSMUSG00000002324.8	9.688607	ENSMUSG00000002324.8
ENSMUSG00000002325.15	14.599793	ENSMUSG00000002325.15
ENSMUSG00000002326.6	11.131124	ENSMUSG00000002326.6
ENSMUSG00000002329.7	10.962263	ENSMUSG00000002329.7
ENSMUSG00000002332.16	28.56083	ENSMUSG00000002332.16
ENSMUSG00000002341.8	0.011158	ENSMUSG00000002341.8
ENSMUSG00000002342.17	32.442076	ENSMUSG00000002342.17
ENSMUSG00000002343.11	3.821844	ENSMUSG00000002343.11
ENSMUSG00000002345.18	21.320668	ENSMUSG00000002345.18
ENSMUSG00000002346.16	0.575553	ENSMUSG00000002346.16
ENSMUSG00000002365.10	34.934896	ENSMUSG00000002365.10
ENSMUSG00000002372.9	17.364975	ENSMUSG00000002372.9
ENSMUSG00000002379.7	168.757303	ENSMUSG00000002379.7
ENSMUSG00000002384.2	0.359464	ENSMUSG00000002384.2
ENSMUSG00000002393.14	112.050558	ENSMUSG00000002393.14
ENSMUSG00000002395.14	45.443912	ENSMUSG00000002395.14
ENSMUSG00000002396.8	7.517018	ENSMUSG00000002396.8
