abundance	gene
ENSMUSG00000000567.5	0.589821	ENSMUSG00000000567.5
ENSMUSG00000000568.15	135.423495	ENSMUSG00000000568.15
ENSMUSG00000000579.14	0.710634	ENSMUSG00000000579.14
ENSMUSG00000000581.8	15.551885	ENSMUSG00000000581.8
ENSMUSG00000000594.7	115.615098	ENSMUSG00000000594.7
ENSMUSG00000000600.15	7.96593	ENSMUSG00000000600.15
ENSMUSG00000000605.9	8.400874	ENSMUSG00000000605.9
ENSMUSG00000000606.18	0.033952	ENSMUSG00000000606.18
ENSMUSG00000000617.14	0.005614	ENSMUSG00000000617.14
ENSMUSG00000000627.15	0.03585	ENSMUSG00000000627.15
ENSMUSG00000000628.10	29.580039	ENSMUSG00000000628.10
ENSMUSG00000000631.20	61.078941	ENSMUSG00000000631.20
ENSMUSG00000000632.13	0.007148	ENSMUSG00000000632.13
ENSMUSG00000000673.9	0.775836	ENSMUSG00000000673.9
ENSMUSG00000000682.7	5.994508	ENSMUSG00000000682.7
ENSMUSG00000000686.11	0.58309	ENSMUSG00000000686.11
ENSMUSG00000000690.5	0.554843	ENSMUSG00000000690.5
ENSMUSG00000000693.10	0.200462	ENSMUSG00000000693.10
ENSMUSG00000000701.8	0	ENSMUSG00000000701.8
ENSMUSG00000000706.16	0.200195	ENSMUSG00000000706.16
ENSMUSG00000000708.14	16.614434	ENSMUSG00000000708.14
ENSMUSG00000000711.3	31.586365	ENSMUSG00000000711.3
ENSMUSG00000000724.10	0	ENSMUSG00000000724.10
ENSMUSG00000000730.13	1.333585	ENSMUSG00000000730.13
ENSMUSG00000000731.15	0	ENSMUSG00000000731.15
ENSMUSG00000000732.9	0.426736	ENSMUSG00000000732.9
ENSMUSG00000000738.18	34.811039	ENSMUSG00000000738.18
ENSMUSG00000000739.14	0.427919	ENSMUSG00000000739.14
ENSMUSG00000000740.12	161.832733	ENSMUSG00000000740.12
ENSMUSG00000000743.9	73.012907	ENSMUSG00000000743.9
ENSMUSG00000000751.13	12.593191	ENSMUSG00000000751.13
ENSMUSG00000000753.15	0.756611	ENSMUSG00000000753.15
ENSMUSG00000000759.14	12.626044	ENSMUSG00000000759.14
ENSMUSG00000000766.18	0	ENSMUSG00000000766.18
ENSMUSG00000000776.13	19.560538	ENSMUSG00000000776.13
ENSMUSG00000000782.16	1.341936	ENSMUSG00000000782.16
ENSMUSG00000000787.12	64.659699	ENSMUSG00000000787.12
ENSMUSG00000000791.9	0.182131	ENSMUSG00000000791.9
ENSMUSG00000000792.2	1.609468	ENSMUSG00000000792.2
ENSMUSG00000000794.9	0.025114	ENSMUSG00000000794.9
ENSMUSG00000000804.14	13.53545	ENSMUSG00000000804.14
ENSMUSG00000000805.18	275.139125	ENSMUSG00000000805.18
ENSMUSG00000000811.13	0.99125	ENSMUSG00000000811.13
ENSMUSG00000000817.10	1.402131	ENSMUSG00000000817.10
ENSMUSG00000000823.16	6.922974	ENSMUSG00000000823.16
ENSMUSG00000000826.16	19.003508	ENSMUSG00000000826.16
ENSMUSG00000000827.18	43.878027	ENSMUSG00000000827.18
ENSMUSG00000000838.17	13.628359	ENSMUSG00000000838.17
ENSMUSG00000000861.15	0.063209	ENSMUSG00000000861.15
ENSMUSG00000000869.12	0	ENSMUSG00000000869.12
ENSMUSG00000000876.11	13.992806	ENSMUSG00000000876.11
ENSMUSG00000000881.12	30.890527	ENSMUSG00000000881.12
ENSMUSG00000000884.17	2.626823	ENSMUSG00000000884.17
ENSMUSG00000000889.8	0	ENSMUSG00000000889.8
ENSMUSG00000000901.17	45.126738	ENSMUSG00000000901.17
ENSMUSG00000000902.13	40.545967	ENSMUSG00000000902.13
ENSMUSG00000000903.3	0.060355	ENSMUSG00000000903.3
ENSMUSG00000000915.15	23.398835	ENSMUSG00000000915.15
ENSMUSG00000000916.15	6.735483	ENSMUSG00000000916.15
ENSMUSG00000000934.9	12.564062	ENSMUSG00000000934.9
ENSMUSG00000000938.11	39.615098	ENSMUSG00000000938.11
ENSMUSG00000000942.10	0.13498	ENSMUSG00000000942.10
ENSMUSG00000000948.16	4.150509	ENSMUSG00000000948.16
ENSMUSG00000000957.11	30.555201	ENSMUSG00000000957.11
ENSMUSG00000000958.10	18.97788	ENSMUSG00000000958.10
ENSMUSG00000000959.7	28.037538	ENSMUSG00000000959.7
ENSMUSG00000000976.13	3.401032	ENSMUSG00000000976.13
ENSMUSG00000000982.5	1.185153	ENSMUSG00000000982.5
ENSMUSG00000000983.13	0	ENSMUSG00000000983.13
ENSMUSG00000001014.6	2.667424	ENSMUSG00000001014.6
ENSMUSG00000001016.12	26.06886	ENSMUSG00000001016.12
ENSMUSG00000001017.15	38.386027	ENSMUSG00000001017.15
ENSMUSG00000001018.15	26.37746	ENSMUSG00000001018.15
ENSMUSG00000001020.8	8.931576	ENSMUSG00000001020.8
ENSMUSG00000001021.13	0.551503	ENSMUSG00000001021.13
ENSMUSG00000001023.10	4.19764	ENSMUSG00000001023.10
ENSMUSG00000001025.8	1811.341836	ENSMUSG00000001025.8
ENSMUSG00000001027.7	0.010764	ENSMUSG00000001027.7
ENSMUSG00000001029.15	5.946982	ENSMUSG00000001029.15
ENSMUSG00000001034.17	7.030782	ENSMUSG00000001034.17
ENSMUSG00000001036.17	10.608734	ENSMUSG00000001036.17
ENSMUSG00000001039.12	14.378129	ENSMUSG00000001039.12
ENSMUSG00000001052.15	49.288799	ENSMUSG00000001052.15
ENSMUSG00000001053.15	5.918957	ENSMUSG00000001053.15
ENSMUSG00000001054.9	19.49449	ENSMUSG00000001054.9
ENSMUSG00000001056.3	33.438551	ENSMUSG00000001056.3
ENSMUSG00000001062.18	9.558203	ENSMUSG00000001062.18
ENSMUSG00000001065.15	19.056727	ENSMUSG00000001065.15
ENSMUSG00000001076.7	0.129677	ENSMUSG00000001076.7
ENSMUSG00000001082.12	252.29807	ENSMUSG00000001082.12
ENSMUSG00000001089.14	8.814399	ENSMUSG00000001089.14
ENSMUSG00000001095.5	0.241309	ENSMUSG00000001095.5
ENSMUSG00000001098.15	71.179948	ENSMUSG00000001098.15
ENSMUSG00000001100.10	20.793314	ENSMUSG00000001100.10
ENSMUSG00000001103.7	0	ENSMUSG00000001103.7
ENSMUSG00000001105.15	69.321795	ENSMUSG00000001105.15
ENSMUSG00000001119.7	0.771968	ENSMUSG00000001119.7
ENSMUSG00000001120.15	8.750675	ENSMUSG00000001120.15
ENSMUSG00000001123.15	351.672225	ENSMUSG00000001123.15
ENSMUSG00000001127.12	27.889855	ENSMUSG00000001127.12
ENSMUSG00000001128.7	0.850801	ENSMUSG00000001128.7
ENSMUSG00000001131.11	9.71468	ENSMUSG00000001131.11
ENSMUSG00000001134.9	9.817994	ENSMUSG00000001134.9
ENSMUSG00000001138.13	5.869466	ENSMUSG00000001138.13
ENSMUSG00000001143.13	17.039323	ENSMUSG00000001143.13
ENSMUSG00000001150.7	14.951894	ENSMUSG00000001150.7
ENSMUSG00000001151.10	3.605804	ENSMUSG00000001151.10
ENSMUSG00000001155.13	0.121302	ENSMUSG00000001155.13
ENSMUSG00000001156.9	5.983768	ENSMUSG00000001156.9
ENSMUSG00000001157.13	8.055899	ENSMUSG00000001157.13
ENSMUSG00000001158.13	27.205465	ENSMUSG00000001158.13
ENSMUSG00000001166.17	5.850667	ENSMUSG00000001166.17
ENSMUSG00000001168.16	0.01573	ENSMUSG00000001168.16
ENSMUSG00000001173.15	3.49142	ENSMUSG00000001173.15
ENSMUSG00000001175.15	323.971142	ENSMUSG00000001175.15
ENSMUSG00000001211.15	35.227351	ENSMUSG00000001211.15
ENSMUSG00000001225.12	0.097691	ENSMUSG00000001225.12
ENSMUSG00000001227.12	0.631279	ENSMUSG00000001227.12
ENSMUSG00000001228.14	6.834913	ENSMUSG00000001228.14
ENSMUSG00000001229.9	6.664134	ENSMUSG00000001229.9
ENSMUSG00000001240.13	30.262316	ENSMUSG00000001240.13
ENSMUSG00000001247.16	12.867554	ENSMUSG00000001247.16
ENSMUSG00000001248.15	49.736521	ENSMUSG00000001248.15
ENSMUSG00000001249.14	1.87897	ENSMUSG00000001249.14
ENSMUSG00000001260.10	0.006965	ENSMUSG00000001260.10
ENSMUSG00000001270.9	77.514725	ENSMUSG00000001270.9
ENSMUSG00000001280.13	32.495993	ENSMUSG00000001280.13
ENSMUSG00000001281.10	4.269844	ENSMUSG00000001281.10
ENSMUSG00000001285.12	23.032613	ENSMUSG00000001285.12
ENSMUSG00000001288.15	5.502207	ENSMUSG00000001288.15
ENSMUSG00000001289.12	356.281995	ENSMUSG00000001289.12
ENSMUSG00000001300.16	5.782427	ENSMUSG00000001300.16
ENSMUSG00000001305.5	10.203604	ENSMUSG00000001305.5
ENSMUSG00000001313.12	74.888312	ENSMUSG00000001313.12
ENSMUSG00000001323.17	15.300715	ENSMUSG00000001323.17
ENSMUSG00000001333.9	1.313564	ENSMUSG00000001333.9
ENSMUSG00000001334.9	2.392114	ENSMUSG00000001334.9
ENSMUSG00000001348.15	8.833887	ENSMUSG00000001348.15
ENSMUSG00000001349.5	0.836354	ENSMUSG00000001349.5
ENSMUSG00000001366.14	20.680035	ENSMUSG00000001366.14
ENSMUSG00000001376.17	12.410819	ENSMUSG00000001376.17
ENSMUSG00000001380.7	29.477075	ENSMUSG00000001380.7
ENSMUSG00000001383.9	50.410542	ENSMUSG00000001383.9
ENSMUSG00000001403.13	12.190339	ENSMUSG00000001403.13
ENSMUSG00000001415.10	25.230707	ENSMUSG00000001415.10
ENSMUSG00000001416.13	228.508594	ENSMUSG00000001416.13
ENSMUSG00000001418.13	440.038525	ENSMUSG00000001418.13
ENSMUSG00000001419.17	46.520615	ENSMUSG00000001419.17
ENSMUSG00000001420.13	5.49987	ENSMUSG00000001420.13
ENSMUSG00000001424.14	302.665061	ENSMUSG00000001424.14
ENSMUSG00000001435.15	6.431219	ENSMUSG00000001435.15
ENSMUSG00000001436.15	3.524094	ENSMUSG00000001436.15
ENSMUSG00000001440.5	48.811182	ENSMUSG00000001440.5
ENSMUSG00000001441.13	46.407739	ENSMUSG00000001441.13
ENSMUSG00000001444.2	0.050678	ENSMUSG00000001444.2
ENSMUSG00000001445.10	23.05788	ENSMUSG00000001445.10
ENSMUSG00000001467.5	11.26752	ENSMUSG00000001467.5
ENSMUSG00000001472.17	1736.906732	ENSMUSG00000001472.17
ENSMUSG00000001473.7	20.490191	ENSMUSG00000001473.7
ENSMUSG00000001482.15	7.643795	ENSMUSG00000001482.15
ENSMUSG00000001493.9	0.137606	ENSMUSG00000001493.9
ENSMUSG00000001494.6	0	ENSMUSG00000001494.6
ENSMUSG00000001496.15	0.063968	ENSMUSG00000001496.15
ENSMUSG00000001497.18	0.029308	ENSMUSG00000001497.18
ENSMUSG00000001504.10	1.962808	ENSMUSG00000001504.10
ENSMUSG00000001506.10	11.346433	ENSMUSG00000001506.10
ENSMUSG00000001507.16	30.487763	ENSMUSG00000001507.16
ENSMUSG00000001508.15	0	ENSMUSG00000001508.15
ENSMUSG00000001510.8	13.002082	ENSMUSG00000001510.8
ENSMUSG00000001517.14	1.859355	ENSMUSG00000001517.14
ENSMUSG00000001518.12	16.745733	ENSMUSG00000001518.12
ENSMUSG00000001520.12	0.262273	ENSMUSG00000001520.12
ENSMUSG00000001521.12	3.063365	ENSMUSG00000001521.12
ENSMUSG00000001524.14	31.81683	ENSMUSG00000001524.14
ENSMUSG00000001525.10	158.686927	ENSMUSG00000001525.10
ENSMUSG00000001542.7	10.090931	ENSMUSG00000001542.7
ENSMUSG00000001552.14	218.664101	ENSMUSG00000001552.14
ENSMUSG00000001555.10	15.098775	ENSMUSG00000001555.10
ENSMUSG00000001558.5	0.192535	ENSMUSG00000001558.5
ENSMUSG00000001566.9	0.038485	ENSMUSG00000001566.9
ENSMUSG00000001569.10	11.096814	ENSMUSG00000001569.10
ENSMUSG00000001576.15	29.748188	ENSMUSG00000001576.15
ENSMUSG00000001583.13	0.89572	ENSMUSG00000001583.13
ENSMUSG00000001588.12	1.005263	ENSMUSG00000001588.12
ENSMUSG00000001604.14	0.453864	ENSMUSG00000001604.14
ENSMUSG00000001622.15	0.336426	ENSMUSG00000001622.15
ENSMUSG00000001627.12	162.131039	ENSMUSG00000001627.12
ENSMUSG00000001630.13	6.228223	ENSMUSG00000001630.13
ENSMUSG00000001632.16	8.7265	ENSMUSG00000001632.16
ENSMUSG00000001642.18	17.91342	ENSMUSG00000001642.18
ENSMUSG00000001655.6	0.512963	ENSMUSG00000001655.6
ENSMUSG00000001656.3	0	ENSMUSG00000001656.3
ENSMUSG00000001657.7	0.121765	ENSMUSG00000001657.7
ENSMUSG00000001661.5	0.085186	ENSMUSG00000001661.5
ENSMUSG00000001663.10	0.370649	ENSMUSG00000001663.10
ENSMUSG00000001665.11	3.051712	ENSMUSG00000001665.11
ENSMUSG00000001666.8	30.843325	ENSMUSG00000001666.8
ENSMUSG00000001670.13	0	ENSMUSG00000001670.13
ENSMUSG00000001672.14	2.427778	ENSMUSG00000001672.14
ENSMUSG00000001674.11	24.085687	ENSMUSG00000001674.11
ENSMUSG00000001687.15	28.157586	ENSMUSG00000001687.15
ENSMUSG00000001700.10	12.834088	ENSMUSG00000001700.10
ENSMUSG00000001707.8	9.050901	ENSMUSG00000001707.8
ENSMUSG00000001729.14	221.120546	ENSMUSG00000001729.14
ENSMUSG00000001739.14	0.358214	ENSMUSG00000001739.14
ENSMUSG00000001741.12	0.212899	ENSMUSG00000001741.12
ENSMUSG00000001750.16	24.613712	ENSMUSG00000001750.16
ENSMUSG00000001751.9	19.129301	ENSMUSG00000001751.9
ENSMUSG00000001755.12	7.987248	ENSMUSG00000001755.12
ENSMUSG00000001761.7	1.575046	ENSMUSG00000001761.7
ENSMUSG00000001763.14	10.484411	ENSMUSG00000001763.14
ENSMUSG00000001767.5	13.613343	ENSMUSG00000001767.5
ENSMUSG00000001768.16	3.505051	ENSMUSG00000001768.16
ENSMUSG00000001773.14	0	ENSMUSG00000001773.14
ENSMUSG00000001774.8	21.515263	ENSMUSG00000001774.8
ENSMUSG00000001783.3	32.935093	ENSMUSG00000001783.3
ENSMUSG00000001785.13	8.761281	ENSMUSG00000001785.13
ENSMUSG00000001786.14	12.157292	ENSMUSG00000001786.14
ENSMUSG00000001794.13	272.207032	ENSMUSG00000001794.13
ENSMUSG00000001802.16	0.520526	ENSMUSG00000001802.16
ENSMUSG00000001804.9	0.056224	ENSMUSG00000001804.9
ENSMUSG00000001815.15	0	ENSMUSG00000001815.15
ENSMUSG00000001819.4	0.304747	ENSMUSG00000001819.4
ENSMUSG00000001823.5	0.019863	ENSMUSG00000001823.5
ENSMUSG00000001827.12	97.497058	ENSMUSG00000001827.12
ENSMUSG00000001829.17	11.196314	ENSMUSG00000001829.17
