abundance	gene
ENSMUSG00000000001.4	66.124442	ENSMUSG00000000001.4
ENSMUSG00000000003.15	0	ENSMUSG00000000003.15
ENSMUSG00000000028.15	2.492228	ENSMUSG00000000028.15
ENSMUSG00000000037.17	0.031586	ENSMUSG00000000037.17
ENSMUSG00000000049.11	3.061018	ENSMUSG00000000049.11
ENSMUSG00000000056.7	11.161085	ENSMUSG00000000056.7
ENSMUSG00000000058.6	2.209978	ENSMUSG00000000058.6
ENSMUSG00000000078.7	27.098689	ENSMUSG00000000078.7
ENSMUSG00000000085.16	6.109217	ENSMUSG00000000085.16
ENSMUSG00000000088.7	178.529918	ENSMUSG00000000088.7
ENSMUSG00000000093.6	1.297347	ENSMUSG00000000093.6
ENSMUSG00000000094.12	0.245382	ENSMUSG00000000094.12
ENSMUSG00000000103.12	0	ENSMUSG00000000103.12
ENSMUSG00000000120.6	0.168294	ENSMUSG00000000120.6
ENSMUSG00000000125.5	0.034249	ENSMUSG00000000125.5
ENSMUSG00000000126.11	0.197175	ENSMUSG00000000126.11
ENSMUSG00000000127.15	10.698503	ENSMUSG00000000127.15
ENSMUSG00000000131.15	42.273454	ENSMUSG00000000131.15
ENSMUSG00000000134.17	11.896941	ENSMUSG00000000134.17
ENSMUSG00000000142.15	0.994183	ENSMUSG00000000142.15
ENSMUSG00000000148.17	2.511563	ENSMUSG00000000148.17
ENSMUSG00000000149.10	8.376477	ENSMUSG00000000149.10
ENSMUSG00000000154.16	16.864032	ENSMUSG00000000154.16
ENSMUSG00000000157.16	0.01038	ENSMUSG00000000157.16
ENSMUSG00000000159.16	1.070384	ENSMUSG00000000159.16
ENSMUSG00000000167.14	0.677265	ENSMUSG00000000167.14
ENSMUSG00000000168.9	16.915525	ENSMUSG00000000168.9
ENSMUSG00000000171.5	57.259331	ENSMUSG00000000171.5
ENSMUSG00000000182.9	0	ENSMUSG00000000182.9
ENSMUSG00000000183.6	0	ENSMUSG00000000183.6
ENSMUSG00000000184.12	2.002695	ENSMUSG00000000184.12
ENSMUSG00000000194.13	30.689153	ENSMUSG00000000194.13
ENSMUSG00000000197.8	0.006813	ENSMUSG00000000197.8
ENSMUSG00000000202.9	0.049466	ENSMUSG00000000202.9
ENSMUSG00000000204.16	0.984856	ENSMUSG00000000204.16
ENSMUSG00000000214.11	0.665224	ENSMUSG00000000214.11
ENSMUSG00000000215.11	0	ENSMUSG00000000215.11
ENSMUSG00000000216.8	0.406068	ENSMUSG00000000216.8
ENSMUSG00000000223.13	0.467093	ENSMUSG00000000223.13
ENSMUSG00000000244.17	0.398963	ENSMUSG00000000244.17
ENSMUSG00000000247.11	4.849263	ENSMUSG00000000247.11
ENSMUSG00000000248.16	0.012369	ENSMUSG00000000248.16
ENSMUSG00000000253.13	10.845727	ENSMUSG00000000253.13
ENSMUSG00000000263.15	0	ENSMUSG00000000263.15
ENSMUSG00000000266.11	0.730384	ENSMUSG00000000266.11
ENSMUSG00000000275.16	6.923873	ENSMUSG00000000275.16
ENSMUSG00000000276.11	0.910528	ENSMUSG00000000276.11
ENSMUSG00000000278.10	48.240111	ENSMUSG00000000278.10
ENSMUSG00000000282.12	2.966405	ENSMUSG00000000282.12
ENSMUSG00000000290.13	1.174232	ENSMUSG00000000290.13
ENSMUSG00000000295.13	6.336208	ENSMUSG00000000295.13
ENSMUSG00000000296.8	0.51018	ENSMUSG00000000296.8
ENSMUSG00000000301.16	4.697654	ENSMUSG00000000301.16
ENSMUSG00000000303.12	4.475153	ENSMUSG00000000303.12
ENSMUSG00000000305.12	0.139494	ENSMUSG00000000305.12
ENSMUSG00000000308.14	2.785418	ENSMUSG00000000308.14
ENSMUSG00000000317.11	0.279559	ENSMUSG00000000317.11
ENSMUSG00000000318.16	0.739905	ENSMUSG00000000318.16
ENSMUSG00000000320.10	0.41092	ENSMUSG00000000320.10
ENSMUSG00000000325.16	15.552623	ENSMUSG00000000325.16
ENSMUSG00000000326.13	23.002402	ENSMUSG00000000326.13
ENSMUSG00000000339.14	10.896639	ENSMUSG00000000339.14
ENSMUSG00000000340.10	2.528384	ENSMUSG00000000340.10
ENSMUSG00000000346.9	43.078985	ENSMUSG00000000346.9
ENSMUSG00000000355.13	23.742712	ENSMUSG00000000355.13
ENSMUSG00000000359.3	1.317566	ENSMUSG00000000359.3
ENSMUSG00000000365.9	0.838858	ENSMUSG00000000365.9
ENSMUSG00000000374.8	3.980299	ENSMUSG00000000374.8
ENSMUSG00000000378.15	34.563974	ENSMUSG00000000378.15
ENSMUSG00000000381.10	0	ENSMUSG00000000381.10
