abundance	gene
ENSMUSG00000000001.4	67.441621	ENSMUSG00000000001.4
ENSMUSG00000000003.15	0	ENSMUSG00000000003.15
ENSMUSG00000000028.15	3.745557	ENSMUSG00000000028.15
ENSMUSG00000000037.17	0.030239	ENSMUSG00000000037.17
ENSMUSG00000000049.11	13.453437	ENSMUSG00000000049.11
ENSMUSG00000000056.7	13.88214	ENSMUSG00000000056.7
ENSMUSG00000000058.6	2.837144	ENSMUSG00000000058.6
ENSMUSG00000000078.7	35.669173	ENSMUSG00000000078.7
ENSMUSG00000000085.16	7.456446	ENSMUSG00000000085.16
ENSMUSG00000000088.7	181.59054	ENSMUSG00000000088.7
ENSMUSG00000000093.6	1.325704	ENSMUSG00000000093.6
ENSMUSG00000000094.12	0.252139	ENSMUSG00000000094.12
ENSMUSG00000000103.12	0	ENSMUSG00000000103.12
ENSMUSG00000000120.6	0.173605	ENSMUSG00000000120.6
ENSMUSG00000000125.5	0.070383	ENSMUSG00000000125.5
ENSMUSG00000000126.11	0.510562	ENSMUSG00000000126.11
ENSMUSG00000000127.15	9.312956	ENSMUSG00000000127.15
ENSMUSG00000000131.15	51.046039	ENSMUSG00000000131.15
ENSMUSG00000000134.17	6.946802	ENSMUSG00000000134.17
ENSMUSG00000000142.15	2.404858	ENSMUSG00000000142.15
ENSMUSG00000000148.17	3.073527	ENSMUSG00000000148.17
ENSMUSG00000000149.10	11.277464	ENSMUSG00000000149.10
ENSMUSG00000000154.16	25.931713	ENSMUSG00000000154.16
ENSMUSG00000000157.16	0	ENSMUSG00000000157.16
ENSMUSG00000000159.16	3.282373	ENSMUSG00000000159.16
ENSMUSG00000000167.14	0.63973	ENSMUSG00000000167.14
ENSMUSG00000000168.9	17.137173	ENSMUSG00000000168.9
ENSMUSG00000000171.5	73.50062	ENSMUSG00000000171.5
ENSMUSG00000000182.9	0	ENSMUSG00000000182.9
ENSMUSG00000000183.6	0	ENSMUSG00000000183.6
ENSMUSG00000000184.12	1.727577	ENSMUSG00000000184.12
ENSMUSG00000000194.13	36.973959	ENSMUSG00000000194.13
ENSMUSG00000000197.8	0	ENSMUSG00000000197.8
ENSMUSG00000000202.9	0.316052	ENSMUSG00000000202.9
ENSMUSG00000000204.16	0.958384	ENSMUSG00000000204.16
ENSMUSG00000000214.11	0.609091	ENSMUSG00000000214.11
ENSMUSG00000000215.11	1.019028	ENSMUSG00000000215.11
ENSMUSG00000000216.8	0.616803	ENSMUSG00000000216.8
ENSMUSG00000000223.13	0.941886	ENSMUSG00000000223.13
ENSMUSG00000000244.17	0.35346	ENSMUSG00000000244.17
ENSMUSG00000000247.11	4.903574	ENSMUSG00000000247.11
ENSMUSG00000000248.16	0	ENSMUSG00000000248.16
ENSMUSG00000000253.13	8.925327	ENSMUSG00000000253.13
ENSMUSG00000000263.15	0	ENSMUSG00000000263.15
ENSMUSG00000000266.11	0.580977	ENSMUSG00000000266.11
