abundance	gene
ENSMUSG00000000567.5	1.027601	ENSMUSG00000000567.5
ENSMUSG00000000568.15	95.180332	ENSMUSG00000000568.15
ENSMUSG00000000579.14	0.983383	ENSMUSG00000000579.14
ENSMUSG00000000581.8	14.849381	ENSMUSG00000000581.8
ENSMUSG00000000594.7	110.542635	ENSMUSG00000000594.7
ENSMUSG00000000600.15	6.29123	ENSMUSG00000000600.15
ENSMUSG00000000605.9	8.733676	ENSMUSG00000000605.9
ENSMUSG00000000606.18	0	ENSMUSG00000000606.18
ENSMUSG00000000617.14	0	ENSMUSG00000000617.14
ENSMUSG00000000627.15	0.017304	ENSMUSG00000000627.15
ENSMUSG00000000628.10	35.262729	ENSMUSG00000000628.10
ENSMUSG00000000631.20	60.214872	ENSMUSG00000000631.20
ENSMUSG00000000632.13	0.020124	ENSMUSG00000000632.13
ENSMUSG00000000673.9	2.785971	ENSMUSG00000000673.9
ENSMUSG00000000682.7	5.786458	ENSMUSG00000000682.7
ENSMUSG00000000686.11	0.582523	ENSMUSG00000000686.11
ENSMUSG00000000690.5	0.208603	ENSMUSG00000000690.5
ENSMUSG00000000693.10	0.240695	ENSMUSG00000000693.10
ENSMUSG00000000701.8	0	ENSMUSG00000000701.8
ENSMUSG00000000706.16	0.239294	ENSMUSG00000000706.16
ENSMUSG00000000708.14	14.426119	ENSMUSG00000000708.14
ENSMUSG00000000711.3	30.621619	ENSMUSG00000000711.3
ENSMUSG00000000724.10	0	ENSMUSG00000000724.10
ENSMUSG00000000730.13	1.431375	ENSMUSG00000000730.13
ENSMUSG00000000731.15	0	ENSMUSG00000000731.15
ENSMUSG00000000732.9	0.972777	ENSMUSG00000000732.9
ENSMUSG00000000738.18	35.606214	ENSMUSG00000000738.18
ENSMUSG00000000739.14	0.313104	ENSMUSG00000000739.14
ENSMUSG00000000740.12	149.308744	ENSMUSG00000000740.12
ENSMUSG00000000743.9	57.065634	ENSMUSG00000000743.9
ENSMUSG00000000751.13	8.145598	ENSMUSG00000000751.13
ENSMUSG00000000753.15	11.197371	ENSMUSG00000000753.15
ENSMUSG00000000759.14	9.972273	ENSMUSG00000000759.14
ENSMUSG00000000766.18	1.77752	ENSMUSG00000000766.18
ENSMUSG00000000776.13	21.35764	ENSMUSG00000000776.13
ENSMUSG00000000782.16	1.344636	ENSMUSG00000000782.16
ENSMUSG00000000787.12	64.334596	ENSMUSG00000000787.12
ENSMUSG00000000791.9	0.210731	ENSMUSG00000000791.9
ENSMUSG00000000792.2	1.848317	ENSMUSG00000000792.2
ENSMUSG00000000794.9	0.107491	ENSMUSG00000000794.9
ENSMUSG00000000804.14	12.330538	ENSMUSG00000000804.14
ENSMUSG00000000805.18	285.222204	ENSMUSG00000000805.18
ENSMUSG00000000811.13	1.074336	ENSMUSG00000000811.13
ENSMUSG00000000817.10	0.283881	ENSMUSG00000000817.10
ENSMUSG00000000823.16	5.337285	ENSMUSG00000000823.16
