abundance	gene
ENSMUSG00000000001.4	82.357039	ENSMUSG00000000001.4
ENSMUSG00000000003.15	0	ENSMUSG00000000003.15
ENSMUSG00000000028.15	3.493261	ENSMUSG00000000028.15
ENSMUSG00000000037.17	0.14608	ENSMUSG00000000037.17
ENSMUSG00000000049.11	32.588957	ENSMUSG00000000049.11
ENSMUSG00000000056.7	15.972158	ENSMUSG00000000056.7
ENSMUSG00000000058.6	2.363328	ENSMUSG00000000058.6
ENSMUSG00000000078.7	46.949376	ENSMUSG00000000078.7
ENSMUSG00000000085.16	8.893652	ENSMUSG00000000085.16
ENSMUSG00000000088.7	170.984894	ENSMUSG00000000088.7
ENSMUSG00000000093.6	2.765603	ENSMUSG00000000093.6
ENSMUSG00000000094.12	0.156065	ENSMUSG00000000094.12
ENSMUSG00000000103.12	0	ENSMUSG00000000103.12
ENSMUSG00000000120.6	0.304891	ENSMUSG00000000120.6
ENSMUSG00000000125.5	0.159737	ENSMUSG00000000125.5
ENSMUSG00000000126.11	0.642072	ENSMUSG00000000126.11
ENSMUSG00000000127.15	10.675593	ENSMUSG00000000127.15
ENSMUSG00000000131.15	60.520777	ENSMUSG00000000131.15
ENSMUSG00000000134.17	17.052077	ENSMUSG00000000134.17
ENSMUSG00000000142.15	2.086454	ENSMUSG00000000142.15
ENSMUSG00000000148.17	3.896069	ENSMUSG00000000148.17
ENSMUSG00000000149.10	17.622626	ENSMUSG00000000149.10
ENSMUSG00000000154.16	30.454524	ENSMUSG00000000154.16
ENSMUSG00000000157.16	0	ENSMUSG00000000157.16
ENSMUSG00000000159.16	6.379276	ENSMUSG00000000159.16
ENSMUSG00000000167.14	0.688031	ENSMUSG00000000167.14
ENSMUSG00000000168.9	20.832265	ENSMUSG00000000168.9
ENSMUSG00000000171.5	82.251293	ENSMUSG00000000171.5
ENSMUSG00000000182.9	0	ENSMUSG00000000182.9
ENSMUSG00000000183.6	0	ENSMUSG00000000183.6
ENSMUSG00000000184.12	1.588968	ENSMUSG00000000184.12
ENSMUSG00000000194.13	50.358934	ENSMUSG00000000194.13
ENSMUSG00000000197.8	0.005973	ENSMUSG00000000197.8
ENSMUSG00000000202.9	0.027965	ENSMUSG00000000202.9
ENSMUSG00000000204.16	0.679877	ENSMUSG00000000204.16
ENSMUSG00000000214.11	0.686465	ENSMUSG00000000214.11
ENSMUSG00000000215.11	0.62744	ENSMUSG00000000215.11
ENSMUSG00000000216.8	0.875846	ENSMUSG00000000216.8
ENSMUSG00000000223.13	0.711928	ENSMUSG00000000223.13
ENSMUSG00000000244.17	0.261455	ENSMUSG00000000244.17
ENSMUSG00000000247.11	6.33348	ENSMUSG00000000247.11
ENSMUSG00000000248.16	0.028588	ENSMUSG00000000248.16
ENSMUSG00000000253.13	15.440013	ENSMUSG00000000253.13
ENSMUSG00000000263.15	0	ENSMUSG00000000263.15
ENSMUSG00000000266.11	1.29755	ENSMUSG00000000266.11
ENSMUSG00000000275.16	13.08809	ENSMUSG00000000275.16
ENSMUSG00000000276.11	1.44686	ENSMUSG00000000276.11
ENSMUSG00000000278.10	98.554849	ENSMUSG00000000278.10
ENSMUSG00000000282.12	7.750119	ENSMUSG00000000282.12
ENSMUSG00000000290.13	1.131546	ENSMUSG00000000290.13
ENSMUSG00000000295.13	6.234663	ENSMUSG00000000295.13
ENSMUSG00000000296.8	1.227812	ENSMUSG00000000296.8
ENSMUSG00000000301.16	5.42224	ENSMUSG00000000301.16
ENSMUSG00000000303.12	27.625251	ENSMUSG00000000303.12
ENSMUSG00000000305.12	0.402025	ENSMUSG00000000305.12
ENSMUSG00000000308.14	3.49539	ENSMUSG00000000308.14
ENSMUSG00000000317.11	0.322678	ENSMUSG00000000317.11
ENSMUSG00000000318.16	0.254333	ENSMUSG00000000318.16
ENSMUSG00000000320.10	0.461672	ENSMUSG00000000320.10
ENSMUSG00000000325.16	30.628508	ENSMUSG00000000325.16
ENSMUSG00000000326.13	22.673363	ENSMUSG00000000326.13
ENSMUSG00000000339.14	11.848764	ENSMUSG00000000339.14
ENSMUSG00000000340.10	3.708082	ENSMUSG00000000340.10
ENSMUSG00000000346.9	53.228741	ENSMUSG00000000346.9
ENSMUSG00000000355.13	29.526627	ENSMUSG00000000355.13
ENSMUSG00000000359.3	1.148145	ENSMUSG00000000359.3
ENSMUSG00000000365.9	1.855563	ENSMUSG00000000365.9
ENSMUSG00000000374.8	7.356339	ENSMUSG00000000374.8
ENSMUSG00000000378.15	28.697746	ENSMUSG00000000378.15
ENSMUSG00000000381.10	0	ENSMUSG00000000381.10
ENSMUSG00000000384.15	19.474669	ENSMUSG00000000384.15
ENSMUSG00000000385.8	55.994809	ENSMUSG00000000385.8
ENSMUSG00000000392.17	0.016408	ENSMUSG00000000392.17
ENSMUSG00000000394.15	0	ENSMUSG00000000394.15
ENSMUSG00000000399.10	41.904364	ENSMUSG00000000399.10
ENSMUSG00000000402.2	0.301912	ENSMUSG00000000402.2
ENSMUSG00000000409.14	0.462587	ENSMUSG00000000409.14
ENSMUSG00000000411.7	0.159273	ENSMUSG00000000411.7
ENSMUSG00000000416.16	0.153081	ENSMUSG00000000416.16
ENSMUSG00000000420.15	28.302462	ENSMUSG00000000420.15
ENSMUSG00000000435.1	0	ENSMUSG00000000435.1
ENSMUSG00000000439.9	6.395659	ENSMUSG00000000439.9
ENSMUSG00000000440.12	51.050523	ENSMUSG00000000440.12
ENSMUSG00000000441.17	88.362847	ENSMUSG00000000441.17
ENSMUSG00000000486.13	2.971118	ENSMUSG00000000486.13
ENSMUSG00000000489.7	6.047435	ENSMUSG00000000489.7
ENSMUSG00000000530.16	27.77559	ENSMUSG00000000530.16
ENSMUSG00000000531.5	4.590829	ENSMUSG00000000531.5
ENSMUSG00000000532.11	7.710266	ENSMUSG00000000532.11
ENSMUSG00000000538.18	7.133537	ENSMUSG00000000538.18
ENSMUSG00000000544.14	0.477906	ENSMUSG00000000544.14
ENSMUSG00000000552.10	2.237348	ENSMUSG00000000552.10
ENSMUSG00000000555.8	22.91633	ENSMUSG00000000555.8
